# Matter power spectrum P(k) at redshift z=0
# for k=1.05216e-05 to 13.9014 h/Mpc,
# number of wavenumbers equal to 548
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052162017240e-05       5.170916654934e+01 
       2.350772107913e-05       1.118731710346e+02 
       3.654020024128e-05       1.708503926788e+02 
       4.965469873119e-05       2.293329082147e+02 
       6.288745637405e-05       2.877072693585e+02 
       7.627564016474e-05       3.462589005284e+02 
       8.985768334586e-05       4.052292031515e+02 
       1.036736397250e-04       4.648387933856e+02 
       1.177655578436e-04       5.252993766039e+02 
       1.321778796441e-04       5.868208466817e+02 
       1.469578682853e-04       6.496161855934e+02 
       1.621560696842e-04       7.139052173270e+02 
       1.778268121613e-04       7.799177979127e+02 
       1.940287481518e-04       8.478966798640e+02 
       2.108254412086e-04       9.181002746579e+02 
       2.282860003257e-04       9.908053213278e+02 
       2.464857617582e-04       1.066309592874e+03 
       2.655070157703e-04       1.144934595246e+03 
       2.854397717961e-04       1.227028251548e+03 
       3.063825500011e-04       1.312967530951e+03 
       3.284431797490e-04       1.403160954140e+03 
       3.517395755950e-04       1.498050788548e+03 
       3.764004487259e-04       1.598114793601e+03 
       4.025658960250e-04       1.703867276264e+03 
       4.303877902338e-04       1.815859093823e+03 
       4.600298737232e-04       1.934676230981e+03 
       4.916674368247e-04       2.060936510536e+03 
       5.254864425558e-04       2.195283882862e+03 
       5.616819476895e-04       2.338379740765e+03 
       6.004556721769e-04       2.490890857153e+03 
       6.420125931567e-04       2.653473462291e+03 
       6.865564946312e-04       2.826753522175e+03 
       7.342844955267e-04       3.011303452328e+03 
       7.853807074603e-04       3.207616092417e+03 
       8.400093291696e-04       3.416077599174e+03 
       8.983076443675e-04       3.636941036085e+03 
       9.603795189002e-04       3.870303392763e+03 
       1.026290051399e-03       4.116088586114e+03 
       1.096061986160e-03       4.374038533587e+03 
       1.169674336399e-03       4.643714240295e+03 
       1.247063410278e-03       4.924506891983e+03 
       1.328126131146e-03       5.215658315657e+03 
       1.412725263021e-03       5.516260967383e+03 
       1.500695952217e-03       5.825356093626e+03 
       1.591852910682e-03       6.141930314411e+03 
       1.685997597132e-03       6.464932144464e+03 
       1.782924870927e-03       6.793313619580e+03 
       1.882428759257e-03       7.126053604775e+03 
       1.984307149445e-03       7.462176172080e+03 
       2.088365365329e-03       7.800764072262e+03 
       2.194418694421e-03       8.140966729171e+03 
       2.302293998561e-03       8.482005425574e+03 
       2.411830570806e-03       8.823174412878e+03 
       2.522880404826e-03       9.163838896130e+03 
       2.635308029882e-03       9.503433136082e+03 
       2.748990042548e-03       9.841455084348e+03 
       2.863814441592e-03       1.017746351339e+04 
       2.979679848539e-03       1.051107064772e+04 
       3.096494675272e-03       1.084193899356e+04 
       3.214176282509e-03       1.116977516699e+04 
       3.332650158999e-03       1.149432638560e+04 
       3.451849140678e-03       1.181537516310e+04 
       3.571712681076e-03       1.213273233911e+04 
       3.692186178644e-03       1.244624197532e+04 
       3.813220362724e-03       1.275576898343e+04 
       3.934770737248e-03       1.306120401273e+04 
       4.056797079609e-03       1.336245164484e+04 
       4.179262991157e-03       1.365943779040e+04 
       4.302135495260e-03       1.395210312111e+04 
       4.425384678732e-03       1.424039854605e+04 
       4.548983372436e-03       1.452428930941e+04 
       4.672906867087e-03       1.480374684249e+04 
       4.797132660503e-03       1.507876095186e+04 
       4.921640232876e-03       1.534930727091e+04 
       5.046410846930e-03       1.561540934299e+04 
       5.171427370143e-03       1.587706132371e+04 
       5.296674116521e-03       1.607639889664e+04 
       5.422136705660e-03       1.632693509700e+04 
       5.547801937108e-03       1.657303607435e+04 
       5.673657678258e-03       1.681472080252e+04 
       5.799692764211e-03       1.705202056398e+04 
       5.925896908236e-03       1.728495562866e+04 
       6.052260621603e-03       1.751356003410e+04 
       6.178775141736e-03       1.773786990452e+04 
       6.305432367739e-03       1.795791317120e+04 
       6.432224802458e-03       1.817372391859e+04 
       6.559145500367e-03       1.838534395801e+04 
       6.686188020621e-03       1.859280459964e+04 
       6.813346384718e-03       1.879615159994e+04 
       6.940615038267e-03       1.899542415247e+04 
       7.067988816420e-03       1.919065705796e+04 
       7.195462912579e-03       1.938189429053e+04 
       7.323032850035e-03       1.956917692347e+04 
       7.450694456232e-03       1.975254009229e+04 
