# Matter power spectrum P(k) at redshift z=0
# for k=1.05216e-05 to 13.9014 h/Mpc,
# number of wavenumbers equal to 548
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052162017240e-05       5.147305163359e+01 
       2.350772107913e-05       1.113623346372e+02 
       3.654020024128e-05       1.700702538995e+02 
       4.965469873119e-05       2.282857259855e+02 
       6.288745637405e-05       2.863935375350e+02 
       7.627564016474e-05       3.446778096584e+02 
       8.985768334586e-05       4.033788414932e+02 
       1.036736397250e-04       4.627162418176e+02 
       1.177655578436e-04       5.229007493134e+02 
       1.321778796441e-04       5.841412994366e+02 
       1.469578682853e-04       6.466499016409e+02 
       1.621560696842e-04       7.106453761520e+02 
       1.778268121613e-04       7.763565294291e+02 
       1.940287481518e-04       8.440250055267e+02 
       2.108254412086e-04       9.139080359609e+02 
       2.282860003257e-04       9.862810961162e+02 
       2.464857617582e-04       1.061440599299e+03 
       2.655070157703e-04       1.139706583395e+03 
       2.854397717961e-04       1.221425382820e+03 
       3.063825500011e-04       1.306972245422e+03 
       3.284431797490e-04       1.396753826495e+03 
       3.517395755950e-04       1.491210373988e+03 
       3.764004487259e-04       1.590817465776e+03 
       4.025658960250e-04       1.696087060390e+03 
       4.303877902338e-04       1.807567499787e+03 
       4.600298737232e-04       1.925842092940e+03 
       4.916674368247e-04       2.051525841538e+03 
       5.254864425558e-04       2.185259755543e+03 
       5.616819476895e-04       2.327702207702e+03 
       6.004556721769e-04       2.479516926299e+03 
       6.420125931567e-04       2.641357145112e+03 
       6.865564946312e-04       2.813845971845e+03 
       7.342844955267e-04       2.997553208253e+03 
       7.853807074603e-04       3.192969443593e+03 
       8.400093291696e-04       3.400479071324e+03 
       8.983076443675e-04       3.620333999391e+03 
       9.603795189002e-04       3.852630774531e+03 
       1.026290051399e-03       4.097293661063e+03 
       1.096061986160e-03       4.354065754895e+03 
       1.169674336399e-03       4.622510065682e+03 
       1.247063410278e-03       4.902020559143e+03 
       1.328126131146e-03       5.191842524262e+03 
       1.412725263021e-03       5.491072561139e+03 
       1.500695952217e-03       5.798756294112e+03 
       1.591852910682e-03       6.113884970510e+03 
       1.685997597132e-03       6.435411906362e+03 
       1.782924870927e-03       6.762293922687e+03 
       1.882428759257e-03       7.093514547219e+03 
       1.984307149445e-03       7.428102308280e+03 
       2.088365365329e-03       7.765144144992e+03 
       2.194418694421e-03       8.103793365111e+03 
       2.302293998561e-03       8.443274807193e+03 
       2.411830570806e-03       8.782885945240e+03 
       2.522880404826e-03       9.121994882906e+03 
       2.635308029882e-03       9.460038464228e+03 
       2.748990042548e-03       9.796516933278e+03 
       2.863814441592e-03       1.013099107726e+04 
       2.979679848539e-03       1.046307489133e+04 
       3.096494675272e-03       1.079243242282e+04 
       3.214176282509e-03       1.111877162741e+04 
       3.332650158999e-03       1.144184087699e+04 
       3.451849140678e-03       1.176142367833e+04 
       3.571712681076e-03       1.207733173482e+04 
       3.692186178644e-03       1.238940982018e+04 
       3.813220362724e-03       1.269752346295e+04 
       3.934770737248e-03       1.300156381176e+04 
       4.056797079609e-03       1.330143588391e+04 
       4.179262991157e-03       1.359706592834e+04 
       4.302135495260e-03       1.388839488768e+04 
       4.425384678732e-03       1.417537389516e+04 
       4.548983372436e-03       1.445796835366e+04 
       4.672906867087e-03       1.473614982494e+04 
       4.797132660503e-03       1.500990816212e+04 
       4.921640232876e-03       1.527921910986e+04 
       5.046410846930e-03       1.554410610399e+04 
       5.171427370143e-03       1.580456332680e+04 
       5.296674116521e-03       1.606059721308e+04 
       5.422136705660e-03       1.631222297132e+04 
       5.547801937108e-03       1.655945634758e+04 
       5.673657678258e-03       1.680231485761e+04 
       5.799692764211e-03       1.704082832302e+04 
       5.925896908236e-03       1.727501556679e+04 
       6.052260621603e-03       1.750490917967e+04 
       6.178775141736e-03       1.773054384890e+04 
       6.305432367739e-03       1.795194608234e+04 
       6.432224802458e-03       1.816914854946e+04 
       6.559145500367e-03       1.838219165786e+04 
       6.686188020621e-03       1.859110532858e+04 
       6.813346384718e-03       1.879593394191e+04 
       6.940615038267e-03       1.899671533074e+04 
       7.067988816420e-03       1.919348294904e+04 
       7.195462912579e-03       1.938627944094e+04 
       7.323032850035e-03       1.957514456567e+04 
       7.450694456232e-03       1.976011215833e+04 
       7.578443839380e-03       1.994122969958e+04 
       7.706277367195e-03       2.011853732252e+04 
       7.834191647523e-03       2.029208154933e+04 
       7.962183510688e-03       2.046188577167e+04 
       8.090249993374e-03       2.062800642154e+04 
       8.218388323908e-03       2.079047794907e+04 
       8.346595908785e-03       2.094932726611e+04 
       8.474870320347e-03       2.110462385332e+04 
       8.603209285481e-03       2.125639430453e+04 
       8.731610675253e-03       2.140467407315e+04 
       8.860072495387e-03       2.154950897995e+04 
       8.988592877524e-03       2.169092945235e+04 
       9.117170071166e-03       2.182898479672e+04 
       9.245802436271e-03       2.196370949002e+04 
       9.374488436424e-03       2.209514389418e+04 
       9.503226632536e-03       2.222332686301e+04 
       9.632015677038e-03       2.234829251654e+04 
       9.760854308503e-03       2.247007748555e+04 
       9.889741346691e-03       2.258872665004e+04 
       1.001867568796e-02       2.270426081628e+04 
       1.014765630100e-02       2.281672988931e+04 
       1.027668222292e-02       2.292616693937e+04 
       1.040575255559e-02       2.303260174701e+04 
       1.053486646227e-02       2.313607945485e+04 
       1.066402316444e-02       2.323662721822e+04 
       1.079322193894e-02       2.333428170707e+04 
       1.092246211522e-02       2.342907963922e+04 
       1.105174307285e-02       2.352105611660e+04 
       1.118106423920e-02       2.361022732917e+04 
       1.131042508723e-02       2.369666246294e+04 
       1.143982513352e-02       2.378036855872e+04 
       1.156926393637e-02       2.386138998389e+04 
       1.169874109404e-02       2.393974514024e+04 
       1.182825624318e-02       2.401547802089e+04 
       1.195780905728e-02       2.408863205218e+04 
       1.208739924525e-02       2.415921968870e+04 
       1.221702655018e-02       2.422727778930e+04 
       1.234669074807e-02       2.429284231473e+04 
       1.247639164673e-02       2.435593370882e+04 
       1.260612908473e-02       2.441659726612e+04 
       1.273590293043e-02       2.447485625799e+04 
       1.286571308106e-02       2.453074208785e+04 
       1.299555946191e-02       2.458428512065e+04 
       1.312544202555e-02       2.463551794730e+04 
       1.325536075111e-02       2.468445994539e+04 
       1.338531564362e-02       2.473116554321e+04 
       1.351530673340e-02       2.477563259413e+04 
       1.364533407550e-02       2.481790582413e+04 
       1.377539774920e-02       2.485800857340e+04 
       1.390549785752e-02       2.489597319923e+04 
       1.403563452678e-02       2.493182046136e+04 
       1.416580790625e-02       2.496557552859e+04 
       1.429601816775e-02       2.499727230230e+04 
       1.442626550538e-02       2.502693974906e+04 
       1.455655013517e-02       2.505458832071e+04 
       1.468687229490e-02       2.508026050740e+04 
       1.481723224380e-02       2.510396568334e+04 
       1.494763026242e-02       2.512574654593e+04 
       1.507806665244e-02       2.514562304730e+04 
       1.520854173650e-02       2.516361778106e+04 
       1.533905585813e-02       2.517974377309e+04 
       1.546960938166e-02       2.519404873790e+04 
       1.560020269211e-02       2.520654433885e+04 
       1.573083619518e-02       2.521725447407e+04 
       1.586151031723e-02       2.522621448780e+04 
       1.599222550526e-02       2.523342153002e+04 
       1.612298222697e-02       2.523892801695e+04 
       1.625378097073e-02       2.524275408165e+04 
       1.638462224574e-02       2.524488824280e+04 
       1.651550658203e-02       2.524539066060e+04 
       1.664643453057e-02       2.524427902536e+04 
       1.677740666345e-02       2.524156274557e+04 
       1.690842357393e-02       2.523726903506e+04 
       1.703948587665e-02       2.523142016382e+04 
       1.717059420779e-02       2.522404680895e+04 
       1.730174922525e-02       2.521515391713e+04 
       1.743295160886e-02       2.520478487985e+04 
       1.756420206062e-02       2.519294382519e+04 
       1.769550130488e-02       2.517965678753e+04 
       1.782685008870e-02       2.516493871540e+04 
       1.795824918201e-02       2.514882312626e+04 
       1.808969937799e-02       2.513132647953e+04 
       1.822120149331e-02       2.511246562715e+04 
       1.835275636850e-02       2.509226513681e+04 
       1.848436486828e-02       2.507073124508e+04 
       1.861602788189e-02       2.504790214592e+04 
       1.874774632350e-02       2.502379409822e+04 
       1.887952113256e-02       2.499844401791e+04 
       1.901135327425e-02       2.497183516353e+04 
       1.914324373989e-02       2.494401537830e+04 
       1.927519354737e-02       2.491497907083e+04 
       1.940720374161e-02       2.488476886527e+04 
       1.953927539506e-02       2.485338680728e+04 
       1.967140960817e-02       2.482086557236e+04 
       1.980360750994e-02       2.478721776872e+04 
       1.993587025841e-02       2.475248304093e+04 
       2.006819904124e-02       2.471665532082e+04 
       2.020059507628e-02       2.467974890753e+04 
       2.033305961215e-02       2.464180118001e+04 
       2.046559392887e-02       2.460278790904e+04 
       2.059819933848e-02       2.456279087906e+04 
       2.073087718570e-02       2.452181772779e+04 
       2.086362884860e-02       2.447982753904e+04 
       2.099645573930e-02       2.443687014765e+04 
       2.112935930470e-02       2.439300440006e+04 
       2.126234102721e-02       2.434821888611e+04 
       2.139540242552e-02       2.430248130934e+04 
       2.152854505542e-02       2.425587661266e+04 
       2.166177051056e-02       2.420833929778e+04 
       2.179508042336e-02       2.416006313225e+04 
       2.192847646583e-02       2.411090709034e+04 
       2.206196035048e-02       2.406090114241e+04 
       2.219553383128e-02       2.401008026828e+04 
       2.232919870454e-02       2.395847534474e+04 
       2.246295680998e-02       2.390611282608e+04 
       2.259681003169e-02       2.385293233414e+04 
       2.273076029917e-02       2.379907850001e+04 
       2.286480958848e-02       2.374446593544e+04 
       2.299895992324e-02       2.368912667277e+04 
       2.313321337590e-02       2.363305412592e+04 
