# Matter power spectrum P(k) at redshift z=0
# for k=1.05216e-05 to 13.9014 h/Mpc,
# number of wavenumbers equal to 548
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052162017240e-05       5.147305163359e+01 
       2.350772107913e-05       1.113623346372e+02 
       3.654020024128e-05       1.700702538995e+02 
       4.965469873119e-05       2.282857259856e+02 
       6.288745637405e-05       2.863935375353e+02 
       7.627564016474e-05       3.446778096590e+02 
       8.985768334586e-05       4.033788414942e+02 
       1.036736397250e-04       4.627162418191e+02 
       1.177655578436e-04       5.229007493155e+02 
       1.321778796441e-04       5.841412994395e+02 
       1.469578682853e-04       6.466499016448e+02 
       1.621560696842e-04       7.106453761571e+02 
       1.778268121613e-04       7.763565294357e+02 
       1.940287481518e-04       8.440250055350e+02 
       2.108254412086e-04       9.139080359712e+02 
       2.282860003257e-04       9.862810961290e+02 
       2.464857617582e-04       1.061440599315e+03 
       2.655070157703e-04       1.139706583414e+03 
       2.854397717961e-04       1.221425382842e+03 
       3.063825500011e-04       1.306972245449e+03 
       3.284431797490e-04       1.396753826527e+03 
       3.517395755950e-04       1.491210374026e+03 
       3.764004487259e-04       1.590817465820e+03 
       4.025658960250e-04       1.696087060441e+03 
       4.303877902338e-04       1.807567499846e+03 
       4.600298737232e-04       1.925842093007e+03 
       4.916674368247e-04       2.051525841615e+03 
       5.254864425558e-04       2.185259755628e+03 
       5.616819476895e-04       2.327702207796e+03 
       6.004556721769e-04       2.479516926401e+03 
       6.420125931567e-04       2.641357145220e+03 
       6.865564946312e-04       2.813845971955e+03 
       7.342844955267e-04       2.997553208360e+03 
       7.853807074603e-04       3.192969443687e+03 
       8.400093291696e-04       3.400479071391e+03 
       8.983076443675e-04       3.620333999411e+03 
       9.603795189002e-04       3.852630774476e+03 
       1.026290051399e-03       4.097293660895e+03 
       1.096061986160e-03       4.354065754559e+03 
       1.169674336399e-03       4.622510065108e+03 
       1.247063410278e-03       4.902020558239e+03 
       1.328126131146e-03       5.191842522907e+03 
       1.412725263021e-03       5.491072559185e+03 
       1.500695952217e-03       5.798756291369e+03 
       1.591852910682e-03       6.113884966747e+03 
       1.685997597132e-03       6.435411901298e+03 
       1.782924870927e-03       6.762293915986e+03 
       1.882428759257e-03       7.093514538483e+03 
       1.984307149445e-03       7.428102297042e+03 
       2.088365365329e-03       7.765144130710e+03 
       2.194418694421e-03       8.103793347162e+03 
       2.302293998561e-03       8.443274784869e+03 
       2.411830570806e-03       8.782885917741e+03 
       2.522880404826e-03       9.121994849332e+03 
       2.635308029882e-03       9.460038423576e+03 
       2.748990042548e-03       9.796516884438e+03 
       2.863814441592e-03       1.013099101901e+04 
       2.979679848539e-03       1.046307482233e+04 
       3.096494675272e-03       1.079243234159e+04 
       3.214176282509e-03       1.111877153239e+04 
       3.332650158999e-03       1.144184076644e+04 
       3.451849140678e-03       1.176142355040e+04 
       3.571712681076e-03       1.207733158752e+04 
       3.692186178644e-03       1.238940965137e+04 
       3.813220362724e-03       1.269752327037e+04 
       3.934770737248e-03       1.300156359297e+04 
       4.056797079609e-03       1.330143563636e+04 
       4.179262991157e-03       1.359706564930e+04 
       4.302135495260e-03       1.388839457428e+04 
       4.425384678732e-03       1.417537354436e+04 
       4.548983372436e-03       1.445796796229e+04 
       4.672906867087e-03       1.473614938964e+04 
       4.797132660503e-03       1.500990767939e+04 
       4.921640232876e-03       1.527921857603e+04 
       5.046410846930e-03       1.554410551522e+04 
       5.171427370143e-03       1.580456267911e+04 
       5.296674116521e-03       1.600320164127e+04 
       5.422136705660e-03       1.625260189783e+04 
       5.547801937108e-03       1.649758724866e+04 
       5.673657678258e-03       1.673817657477e+04 
       5.799692764211e-03       1.697440100982e+04 
       5.925896908236e-03       1.720628072507e+04 
       6.052260621603e-03       1.743384959672e+04 
       6.178775141736e-03       1.765714357820e+04 
       6.305432367739e-03       1.787619046731e+04 
       6.432224802458e-03       1.809102418708e+04 
       6.559145500367e-03       1.830168635224e+04 
       6.686188020621e-03       1.850820812426e+04 
       6.813346384718e-03       1.871063504519e+04 
       6.940615038267e-03       1.890900612406e+04 
       7.067988816420e-03       1.910335599720e+04 
       7.195462912579e-03       1.929372843256e+04 
       7.323032850035e-03       1.948016431060e+04 
       7.450694456232e-03       1.966269860104e+04 
       7.578443839380e-03       1.984137983481e+04 
       7.706277367195e-03       2.001624921406e+04 
       7.834191647523e-03       2.018735427926e+04 
       7.962183510688e-03       2.035471954401e+04 
       8.090249993374e-03       2.051840237122e+04 
       8.218388323908e-03       2.067843823935e+04 
       8.346595908785e-03       2.083485511375e+04 
       8.474870320347e-03       2.098772327520e+04 
       8.603209285481e-03       2.113707033425e+04 
       8.731610675253e-03       2.128293269517e+04 
       8.860072495387e-03       2.142535705157e+04 
       8.988592877524e-03       2.156437477362e+04 
       9.117170071166e-03       2.170003598141e+04 
       9.245802436271e-03       2.183237603298e+04 
       9.374488436424e-03       2.196143611747e+04 
       9.503226632536e-03       2.208725590544e+04 
       9.632015677038e-03       2.220987034360e+04 
       9.760854308503e-03       2.232931685533e+04 
       9.889741346691e-03       2.244564104178e+04 
       1.001867568796e-02       2.255886456326e+04 
       1.014765630100e-02       2.266903797538e+04 
       1.027668222292e-02       2.277619508616e+04 
       1.040575255559e-02       2.288036641702e+04 
       1.053486646227e-02       2.298159773161e+04 
       1.066402316444e-02       2.307991690521e+04 
       1.079322193894e-02       2.317536124610e+04 
       1.092246211522e-02       2.326796809050e+04 
       1.105174307285e-02       2.335777315023e+04 
       1.118106423920e-02       2.344479333672e+04 
       1.131042508723e-02       2.352909817273e+04 
       1.143982513352e-02       2.361069544588e+04 
       1.156926393637e-02       2.368962999290e+04 
       1.169874109404e-02       2.376592084882e+04 
       1.182825624318e-02       2.383961244056e+04 
       1.195780905728e-02       2.391074861143e+04 
       1.208739924525e-02       2.397934243755e+04 
       1.221702655018e-02       2.404543120601e+04 
       1.234669074807e-02       2.410905129311e+04 
       1.247639164673e-02       2.417022365415e+04 
       1.260612908473e-02       2.422899389381e+04 
       1.273590293043e-02       2.428538573812e+04 
       1.286571308106e-02       2.433943096740e+04 
       1.299555946191e-02       2.439116031345e+04 
       1.312544202555e-02       2.444060669952e+04 
       1.325536075111e-02       2.448778991885e+04 
       1.338531564362e-02       2.453276453013e+04 
       1.351530673340e-02       2.457552893348e+04 
       1.364533407550e-02       2.461612802541e+04 
       1.377539774920e-02       2.465458546436e+04 
       1.390549785752e-02       2.469093383936e+04 
       1.403563452678e-02       2.472519421614e+04 
       1.416580790625e-02       2.475739201938e+04 
       1.429601816775e-02       2.478756132138e+04 
       1.442626550538e-02       2.481573128218e+04 
       1.455655013517e-02       2.484191267901e+04 
       1.468687229490e-02       2.486614805714e+04 
       1.481723224380e-02       2.488844709495e+04 
       1.494763026242e-02       2.490885251205e+04 
       1.507806665244e-02       2.492738445006e+04 
       1.520854173650e-02       2.494406565655e+04 
       1.533905585813e-02       2.495890937481e+04 
       1.546960938166e-02       2.497196324092e+04 
       1.560020269211e-02       2.498323911821e+04 
       1.573083619518e-02       2.499276099179e+04 
       1.586151031723e-02       2.500056418533e+04 
       1.599222550526e-02       2.500664612796e+04 
       1.612298222697e-02       2.501105904840e+04 
       1.625378097073e-02       2.501382314373e+04 
       1.638462224574e-02       2.501492724522e+04 
       1.651550658203e-02       2.501443122207e+04 
       1.664643453057e-02       2.501235281122e+04 
       1.677740666345e-02       2.500870152461e+04 
       1.690842357393e-02       2.500350452022e+04 
       1.703948587665e-02       2.499678404134e+04 
       1.717059420779e-02       2.498857065688e+04 
       1.730174922525e-02       2.497886940807e+04 
       1.743295160886e-02       2.496772344999e+04 
       1.756420206062e-02       2.495513699027e+04 
       1.769550130488e-02       2.494113594989e+04 
       1.782685008870e-02       2.492573524593e+04 
       1.795824918201e-02       2.490896819940e+04 
       1.808969937799e-02       2.489085120554e+04 
       1.822120149331e-02       2.487140103914e+04 
       1.835275636850e-02       2.485064211690e+04 
       1.848436486828e-02       2.482858066796e+04 
       1.861602788189e-02       2.480525460336e+04 
       1.874774632350e-02       2.478068007317e+04 
       1.887952113256e-02       2.475489370401e+04 
       1.901135327425e-02       2.472787890327e+04 
       1.914324373989e-02       2.469968311750e+04 
       1.927519354737e-02       2.467030079489e+04 
       1.940720374161e-02       2.463977419111e+04 
       1.953927539506e-02       2.460810531257e+04 
       1.967140960817e-02       2.457532653445e+04 
       1.980360750994e-02       2.454145032385e+04 
       1.993587025841e-02       2.450651595448e+04 
       2.006819904124e-02       2.447051735778e+04 
       2.020059507628e-02       2.443346865763e+04 
       2.033305961215e-02       2.439540686229e+04 
       2.046559392887e-02       2.435630787071e+04 
       2.059819933848e-02       2.431625272236e+04 
       2.073087718570e-02       2.427524891239e+04 
       2.086362884860e-02       2.423325577019e+04 
       2.099645573930e-02       2.419032263180e+04 
       2.112935930470e-02       2.414650776993e+04 
       2.126234102721e-02       2.410179976532e+04 
       2.139540242552e-02       2.405616647312e+04 
       2.152854505542e-02       2.400969204082e+04 
       2.166177051056e-02       2.396231137727e+04 
       2.179508042336e-02       2.391421658376e+04 
       2.192847646583e-02       2.386526763610e+04 
       2.206196035048e-02       2.381549413581e+04 
       2.219553383128e-02       2.376493065266e+04 
       2.232919870454e-02       2.371360768461e+04 
       2.246295680998e-02       2.366155134060e+04 
       2.259681003169e-02       2.360870157106e+04 
       2.273076029917e-02       2.355520173601e+04 
       2.286480958848e-02       2.350096696423e+04 
       2.299895992324e-02       2.344602888830e+04 
       2.313321337590e-02       2.339038081785e+04 
