# Matter power spectrum P(k) at redshift z=0
# for k=1.06508e-05 to 13.8882 h/Mpc,
# number of wavenumbers equal to 547
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.065075777632e-05       4.997837710555e+01 
       2.383390895391e-05       1.082928749197e+02 
       3.706549339276e-05       1.654609337339e+02 
       5.038280559806e-05       2.221590780617e+02 
       6.382378480318e-05       2.787668719484e+02 
       7.742736925766e-05       3.355658412393e+02 
       9.123386234085e-05       3.927950318511e+02 
       1.052853155829e-04       4.506736764517e+02 
       1.196259337126e-04       5.094128102854e+02 
       1.343025068858e-04       5.692222669686e+02 
       1.493648752438e-04       6.303155333033e+02 
       1.648664308563e-04       6.929135213575e+02 
       1.808646618507e-04       7.572477720683e+02 
       1.974217430151e-04       8.235633938543e+02 
       2.146051762686e-04       8.921218725888e+02 
       2.324884829316e-04       9.632038333345e+02 
       2.511519474826e-04       1.037111822049e+03 
       2.706834091616e-04       1.114173075785e+03 
       2.911790930078e-04       1.194742305656e+03 
       3.127444652716e-04       1.279204359207e+03 
       3.354950891264e-04       1.367976756870e+03 
       3.595574447234e-04       1.461511837138e+03 
       3.850696624608e-04       1.560298409521e+03 
       4.121820996742e-04       1.664862530386e+03 
       4.410576690825e-04       1.775767126809e+03 
       4.718718033324e-04       1.893609959390e+03 
       5.048119162551e-04       2.019019451597e+03 
       5.400762021203e-04       2.152647794776e+03 
       5.778716055487e-04       2.295160792090e+03 
       6.184108052896e-04       2.447223943108e+03 
       6.619080946078e-04       2.609484533348e+03 
       7.085741186910e-04       2.782549739112e+03 
       7.586095501566e-04       2.966961380068e+03 
       8.121979432445e-04       3.163168449410e+03 
       8.694981879248e-04       3.371499315051e+03 
       9.306371538854e-04       3.592135967034e+03 
       9.957032268412e-04       3.825093029928e+03 
       1.064741451469e-03       4.070204290287e+03 
       1.137750878799e-03       4.327118674128e+03 
       1.214684475473e-03       4.595306810954e+03 
       1.295451629927e-03       4.874077752435e+03 
       1.379922956384e-03       5.162602949131e+03 
       1.467936826604e-03       5.459912296825e+03 
       1.559306906459e-03       5.765039061063e+03 
       1.653829957241e-03       6.076942341635e+03 
       1.751293260662e-03       6.394574187613e+03 
       1.851481198013e-03       6.716905589770e+03 
       1.954180708499e-03       7.042947174907e+03 
       2.059185529334e-03       7.371764352404e+03 
       2.166299257093e-03       7.702487748324e+03 
       2.275337358825e-03       8.034318852674e+03 
       2.386128306660e-03       8.366532619935e+03 
       2.498514021281e-03       8.698476626048e+03 
       2.612349799052e-03       9.029568256792e+03 
       2.727503874842e-03       9.359290652142e+03 
       2.843856745152e-03       9.687189407938e+03 
       2.961300348737e-03       1.001286530334e+04 
       3.079737177420e-03       1.033597072655e+04 
       3.199079369168e-03       1.065620334825e+04 
       3.319247819066e-03       1.097330338026e+04 
       3.440171331234e-03       1.128704666735e+04 
       3.561785825407e-03       1.159724033862e+04 
       3.684033605163e-03       1.190372102274e+04 
       3.806862690172e-03       1.220635276331e+04 
       3.930226211718e-03       1.250501862347e+04 
       4.054081868781e-03       1.279962502417e+04 
       4.178391440813e-03       1.309009153368e+04 
       4.303120352737e-03       1.337635796868e+04 
       4.428237287501e-03       1.365837284633e+04 
       4.553713841556e-03       1.393610180816e+04 
       4.679524218828e-03       1.420951375614e+04 
       4.805644959028e-03       1.447859304973e+04 
       4.932054696512e-03       1.474332452292e+04 
       5.058733946209e-03       1.500370660914e+04 
       5.185664913523e-03       1.525976021759e+04 
       5.312831325416e-03       1.551147555697e+04 
       5.440218280205e-03       1.575887231876e+04 
       5.567812113883e-03       1.600196406980e+04 
       5.695600281020e-03       1.624076811821e+04 
       5.823571248546e-03       1.647530878223e+04 
       5.951714400924e-03       1.670561338066e+04 
       6.080019955365e-03       1.693170330886e+04 
       6.208478885955e-03       1.715361793772e+04 
       6.337082855659e-03       1.737138343657e+04 
       6.465824155304e-03       1.758502988988e+04 
       6.594695648762e-03       1.779460121932e+04 
       6.723690723632e-03       1.800012422585e+04 
       6.852803246819e-03       1.820163421355e+04 
       6.982027524466e-03       1.839918005875e+04 
       7.111358265768e-03       1.859279059188e+04 
       7.240790550254e-03       1.878250271630e+04 
       7.370319798161e-03       1.896836676772e+04 
       7.499941743580e-03       1.915040744562e+04 
       7.629652410084e-03       1.932866743939e+04 
       7.759448088578e-03       1.950319807969e+04 
       7.889325317149e-03       1.967403122633e+04 
       8.019280862719e-03       1.984121300025e+04 
       8.149311704302e-03       2.000476465671e+04 
       8.279415017732e-03       2.016474765976e+04 
       8.409588161704e-03       2.032118566224e+04 
       8.539828664997e-03       2.047412068457e+04 
