# Matter power spectrum P(k) at redshift z=0
# for k=1.06508e-05 to 13.8882 h/Mpc,
# number of wavenumbers equal to 547
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.065075777632e-05       4.997837710555e+01 
       2.383390895391e-05       1.082928749197e+02 
       3.706549339276e-05       1.654609337340e+02 
       5.038280559806e-05       2.221590780619e+02 
       6.382378480318e-05       2.787668719487e+02 
       7.742736925766e-05       3.355658412399e+02 
       9.123386234085e-05       3.927950318521e+02 
       1.052853155829e-04       4.506736764532e+02 
       1.196259337126e-04       5.094128102875e+02 
       1.343025068858e-04       5.692222669715e+02 
       1.493648752438e-04       6.303155333072e+02 
       1.648664308563e-04       6.929135213626e+02 
       1.808646618507e-04       7.572477720749e+02 
       1.974217430151e-04       8.235633938627e+02 
       2.146051762686e-04       8.921218725992e+02 
       2.324884829316e-04       9.632038333474e+02 
       2.511519474826e-04       1.037111822065e+03 
       2.706834091616e-04       1.114173075804e+03 
       2.911790930078e-04       1.194742305679e+03 
       3.127444652716e-04       1.279204359234e+03 
       3.354950891264e-04       1.367976756902e+03 
       3.595574447234e-04       1.461511837176e+03 
       3.850696624608e-04       1.560298409565e+03 
       4.121820996742e-04       1.664862530437e+03 
       4.410576690825e-04       1.775767126868e+03 
       4.718718033324e-04       1.893609959457e+03 
       5.048119162551e-04       2.019019451674e+03 
       5.400762021203e-04       2.152647794861e+03 
       5.778716055487e-04       2.295160792184e+03 
       6.184108052896e-04       2.447223943208e+03 
       6.619080946078e-04       2.609484533454e+03 
       7.085741186910e-04       2.782549739217e+03 
       7.586095501566e-04       2.966961380166e+03 
       8.121979432445e-04       3.163168449489e+03 
       8.694981879248e-04       3.371499315095e+03 
       9.306371538854e-04       3.592135967020e+03 
       9.957032268412e-04       3.825093029821e+03 
       1.064741451469e-03       4.070204290043e+03 
       1.137750878799e-03       4.327118673684e+03 
       1.214684475473e-03       4.595306810228e+03 
       1.295451629927e-03       4.874077751322e+03 
       1.379922956384e-03       5.162602947494e+03 
       1.467936826604e-03       5.459912294493e+03 
       1.559306906459e-03       5.765039057823e+03 
       1.653829957241e-03       6.076942337227e+03 
       1.751293260662e-03       6.394574181724e+03 
       1.851481198013e-03       6.716905582024e+03 
       1.954180708499e-03       7.042947164865e+03 
       2.059185529334e-03       7.371764339550e+03 
       2.166299257093e-03       7.702487732065e+03 
       2.275337358825e-03       8.034318832331e+03 
       2.386128306660e-03       8.366532594736e+03 
       2.498514021281e-03       8.698476595125e+03 
       2.612349799052e-03       9.029568219173e+03 
       2.727503874842e-03       9.359290606748e+03 
       2.843856745152e-03       9.687189353575e+03 
       2.961300348737e-03       1.001286523870e+04 
       3.079737177420e-03       1.033597065020e+04 
       3.199079369168e-03       1.065620325862e+04 
       3.319247819066e-03       1.097330327567e+04 
       3.440171331234e-03       1.128704654596e+04 
       3.561785825407e-03       1.159724019848e+04 
       3.684033605163e-03       1.190372086174e+04 
       3.806862690172e-03       1.220635257920e+04 
       3.930226211718e-03       1.250501841385e+04 
       4.054081868781e-03       1.279962478648e+04 
       4.178391440813e-03       1.309009126523e+04 
       4.303120352737e-03       1.337635766661e+04 
       4.428237287501e-03       1.365837250762e+04 
       4.553713841556e-03       1.393610142964e+04 
       4.679524218828e-03       1.420951333446e+04 
       4.805644959028e-03       1.447859258141e+04 
       4.932054696512e-03       1.474332400429e+04 
       5.058733946209e-03       1.500370603637e+04 
       5.185664913523e-03       1.525975958667e+04 
       5.312831325416e-03       1.545587579216e+04 
       5.440218280205e-03       1.570108394737e+04 
       5.567812113883e-03       1.594196427993e+04 
       5.695600281020e-03       1.617853545758e+04 
       5.823571248546e-03       1.641082312605e+04 
       5.951714400924e-03       1.663885591264e+04 
       6.080019955365e-03       1.686265653774e+04 
       6.208478885955e-03       1.708226561392e+04 
       6.337082855659e-03       1.729771059648e+04 
       6.465824155304e-03       1.750902282939e+04 
       6.594695648762e-03       1.771624742062e+04 
       6.723690723632e-03       1.791941242019e+04 
       6.852803246819e-03       1.811855433103e+04 
       6.982027524466e-03       1.831372315026e+04 
       7.111358265768e-03       1.850494890748e+04 
       7.240790550254e-03       1.869226965329e+04 
       7.370319798161e-03       1.887573678868e+04 
       7.499941743580e-03       1.905537618827e+04 
       7.629652410084e-03       1.923123161230e+04 
       7.759448088578e-03       1.940335539945e+04 
       7.889325317149e-03       1.957178049964e+04 
       8.019280862719e-03       1.973655403249e+04 
       8.149311704302e-03       1.989769836735e+04 
       8.279415017732e-03       2.005527584857e+04 
       8.409588161704e-03       2.020931119561e+04 
       8.539828664997e-03       2.035984737806e+04 
