# Matter power spectrum P(k) at redshift z=0
# for k=1.05202e-05 to 13.9012 h/Mpc,
# number of wavenumbers equal to 548
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052016662139e-05       5.173229457388e+01 
       2.350616969551e-05       1.119309604087e+02 
       3.653854624941e-05       1.709420372172e+02 
       4.965293652551e-05       2.294580594512e+02 
       6.288557946283e-05       2.878658087581e+02 
       7.627364110084e-05       3.464508729291e+02 
       8.985555364351e-05       4.054547862887e+02 
       1.036713697613e-04       4.650982853153e+02 
       1.177631367434e-04       5.255931866206e+02 
       1.321752951463e-04       5.871494951788e+02 
       1.469551065885e-04       6.499803028424e+02 
       1.621531152702e-04       7.143055438720e+02 
       1.778236475934e-04       7.803551884096e+02 
       1.940253538457e-04       8.483721118456e+02 
       2.108217951736e-04       9.186148422057e+02 
       2.282820778738e-04       9.913602551919e+02 
       2.464815351797e-04       1.066906259506e+03 
       2.655024539742e-04       1.145574507530e+03 
       2.854348399166e-04       1.227713072665e+03 
       3.063772089717e-04       1.313699092340e+03 
       3.284373858503e-04       1.403941252684e+03 
       3.517332799848e-04       1.498881997152e+03 
       3.763935969672e-04       1.598999270736e+03 
       4.025584276335e-04       1.704807570420e+03 
       4.303796382763e-04       1.816857937744e+03 
       4.600209645081e-04       1.935736543539e+03 
       4.916576897371e-04       2.062061394720e+03 
       5.254757701027e-04       2.196476596511e+03 
       5.616702558269e-04       2.339643684176e+03 
       6.004428609971e-04       2.492229528310e+03 
       6.419985580070e-04       2.654890415550e+03 
       6.865411277172e-04       2.828252309672e+03 
       7.342676880174e-04       3.012887530354e+03 
       7.853623520581e-04       3.209288752831e+03 
       8.399893230417e-04       3.417841866168e+03 
       8.982858922608e-04       3.638799551313e+03 
       9.603559361994e-04       3.872258342545e+03 
       1.026264566851e-03       4.118141562486e+03 
       1.096034543998e-03       4.376190549542e+03 
       1.169644897648e-03       4.645965625813e+03 
       1.247031953129e-03       4.926857343347e+03 
       1.328092650396e-03       5.218106955075e+03 
       1.412689768697e-03       5.518806461786e+03 
       1.500658467575e-03       5.827996781332e+03 
       1.591813469837e-03       6.144664473526e+03 
       1.685956242545e-03       6.467758195095e+03 
       1.782881650968e-03       6.796230329334e+03 
       1.882383725987e-03       7.129060375910e+03 
       1.984260356713e-03       7.465273207352e+03 
       2.088316867220e-03       7.803952591569e+03 
       2.194368544056e-03       8.144249054572e+03 
       2.302242247218e-03       8.485385124428e+03 
       2.411777267315e-03       8.826656253424e+03 
       2.522825595194e-03       9.167428924560e+03 
       2.635251757094e-03       9.507138320350e+03 
       2.748932346504e-03       9.845283924249e+03 
       2.863755359140e-03       1.018142496779e+04 
       2.979619413578e-03       1.051517459431e+04 
       3.096432918900e-03       1.084619589113e+04 
       3.214113233190e-03       1.117419587141e+04 
       3.332585842752e-03       1.149892194310e+04 
       3.451783581264e-03       1.182015667413e+04 
       3.571645900182e-03       1.213771100630e+04 
       3.692118196065e-03       1.245142882658e+04 
       3.813151196527e-03       1.276117485168e+04 
       3.934700403930e-03       1.306683941924e+04 
       4.056725594244e-03       1.336832672264e+04 
       4.179190367526e-03       1.366556219879e+04 
       4.302061745975e-03       1.395848611822e+04 
       4.425309815342e-03       1.424704881429e+04 
       4.548907405530e-03       1.453121501051e+04 
       4.672829806384e-03       1.481095559011e+04 
       4.797054514931e-03       1.508625972535e+04 
       4.921561010648e-03       1.535710243898e+04 
       5.046330555606e-03       1.562350701736e+04 
       5.171346016694e-03       1.588546662189e+04 
