# Matter power spectrum P(k) at redshift z=0
# for k=1.05202e-05 to 13.9012 h/Mpc,
# number of wavenumbers equal to 548
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052016662139e-05       5.173229457389e+01 
       2.350616969551e-05       1.119309604087e+02 
       3.653854624941e-05       1.709420372172e+02 
       4.965293652551e-05       2.294580594514e+02 
       6.288557946283e-05       2.878658087585e+02 
       7.627364110084e-05       3.464508729297e+02 
       8.985555364351e-05       4.054547862897e+02 
       1.036713697613e-04       4.650982853168e+02 
       1.177631367434e-04       5.255931866227e+02 
       1.321752951463e-04       5.871494951817e+02 
       1.469551065885e-04       6.499803028463e+02 
       1.621531152702e-04       7.143055438771e+02 
       1.778236475934e-04       7.803551884162e+02 
       1.940253538457e-04       8.483721118539e+02 
       2.108217951736e-04       9.186148422161e+02 
       2.282820778738e-04       9.913602552047e+02 
       2.464815351797e-04       1.066906259521e+03 
       2.655024539742e-04       1.145574507548e+03 
       2.854348399166e-04       1.227713072688e+03 
       3.063772089717e-04       1.313699092367e+03 
       3.284373858503e-04       1.403941252716e+03 
       3.517332799848e-04       1.498881997190e+03 
       3.763935969672e-04       1.598999270780e+03 
       4.025584276335e-04       1.704807570471e+03 
       4.303796382763e-04       1.816857937803e+03 
       4.600209645081e-04       1.935736543606e+03 
       4.916576897371e-04       2.062061394796e+03 
       5.254757701027e-04       2.196476596597e+03 
       5.616702558269e-04       2.339643684270e+03 
       6.004428609971e-04       2.492229528413e+03 
       6.419985580070e-04       2.654890415658e+03 
       6.865411277172e-04       2.828252309783e+03 
       7.342676880174e-04       3.012887530461e+03 
       7.853623520581e-04       3.209288752925e+03 
       8.399893230417e-04       3.417841866236e+03 
       8.982858922608e-04       3.638799551333e+03 
       9.603559361994e-04       3.872258342491e+03 
       1.026264566851e-03       4.118141562316e+03 
       1.096034543998e-03       4.376190549204e+03 
       1.169644897648e-03       4.645965625236e+03 
       1.247031953129e-03       4.926857342438e+03 
       1.328092650396e-03       5.218106953714e+03 
       1.412689768697e-03       5.518806459822e+03 
       1.500658467575e-03       5.827996778576e+03 
       1.591813469837e-03       6.144664469745e+03 
       1.685956242545e-03       6.467758190007e+03 
       1.782881650968e-03       6.796230322601e+03 
       1.882383725987e-03       7.129060367131e+03 
       1.984260356713e-03       7.465273196058e+03 
       2.088316867220e-03       7.803952577217e+03 
       2.194368544056e-03       8.144249036536e+03 
       2.302242247218e-03       8.485385101995e+03 
       2.411777267315e-03       8.826656225790e+03 
       2.522825595194e-03       9.167428890821e+03 
       2.635251757094e-03       9.507138279499e+03 
       2.748932346504e-03       9.845283875170e+03 
       2.863755359140e-03       1.018142490925e+04 
       2.979619413578e-03       1.051517452497e+04 
       3.096432918900e-03       1.084619580951e+04 
       3.214113233190e-03       1.117419577591e+04 
       3.332585842752e-03       1.149892183200e+04 
       3.451783581264e-03       1.182015654557e+04 
       3.571645900182e-03       1.213771085827e+04 
       3.692118196065e-03       1.245142865694e+04 
       3.813151196527e-03       1.276117465814e+04 
       3.934700403930e-03       1.306683919937e+04 
       4.056725594244e-03       1.336832647386e+04 
       4.179190367526e-03       1.366556191836e+04 
       4.302061745975e-03       1.395848580326e+04 
       4.425309815342e-03       1.424704846175e+04 
       4.548907405530e-03       1.453121461718e+04 
       4.672829806384e-03       1.481095515263e+04 
       4.797054514931e-03       1.508625924019e+04 
       4.921561010648e-03       1.535710190246e+04 
       5.046330555606e-03       1.562350642562e+04 
       5.171346016694e-03       1.588546597092e+04 
       5.296591707379e-03       1.608487229506e+04 
       5.422053246767e-03       1.633571479855e+04 
       5.547717433959e-03       1.658212503603e+04 
       5.673572135940e-03       1.682412205199e+04 
       5.799606187440e-03       1.706173590053e+04 
       5.925809301385e-03       1.729498807537e+04 
       6.052171988734e-03       1.752391042090e+04 
       6.178685486626e-03       1.774853950081e+04 
       6.305341693899e-03       1.796890260447e+04 
       6.432133113160e-03       1.818503359621e+04 
       6.559052798658e-03       1.839697481529e+04 
       6.686094309345e-03       1.860475636800e+04 
       6.813251666529e-03       1.880842527185e+04 
       6.940519315645e-03       1.900801937797e+04 
       7.067892091681e-03       1.920357416912e+04 
       7.195365187892e-03       1.939513361016e+04 
       7.322934127428e-03       1.958273876337e+04 
       7.450594737604e-03       1.976642491989e+04 
       7.578343126513e-03       1.994624065322e+04 
       7.706175661756e-03       2.012222747714e+04 
       7.834088951077e-03       2.029443325250e+04 
       7.962079824703e-03       2.046288237535e+04 
       8.090145319228e-03       2.062763239182e+04 
       8.218282662892e-03       2.078871893715e+04 
       8.346489262113e-03       2.094616976461e+04 
       8.474762689159e-03       2.110005525609e+04 
       8.603100670847e-03       2.125040280396e+04 
       8.731501078176e-03       2.139724879105e+04 
       8.859961916811e-03       2.154063969045e+04 
       8.988481318332e-03       2.168060686352e+04 
       9.117057532190e-03       2.181720044950e+04 
       9.245688918290e-03       2.195045531795e+04 
       9.374373940168e-03       2.208041306081e+04 
       9.503111158690e-03       2.220711293951e+04 
       9.631899226241e-03       2.233059008012e+04 
       9.760736881355e-03       2.245088210563e+04 
       9.889622943754e-03       2.256803464070e+04 
       1.001855630975e-02       2.268206949356e+04 
       1.014753594801e-02       2.279303774421e+04 
       1.027656089561e-02       2.290097345154e+04 
       1.040563025438e-02       2.300590739351e+04 
       1.053474318755e-02       2.310788572811e+04 
       1.066389891657e-02       2.320693692954e+04 
       1.079309671825e-02       2.330309876121e+04 
       1.092233592202e-02       2.339640887299e+04 
       1.105161590742e-02       2.348690391978e+04 
       1.118093610179e-02       2.357460047179e+04 
       1.131029597809e-02       2.365956889127e+04 
       1.143969505284e-02       2.374181762313e+04 
       1.156913288434e-02       2.382139115734e+04 
       1.169860907084e-02       2.389830976536e+04 
       1.182812324894e-02       2.397261720247e+04 
       1.195767509212e-02       2.404435818818e+04 
       1.208726430929e-02       2.411354550054e+04 
       1.221689064350e-02       2.418021680264e+04 
       1.234655387074e-02       2.424440817729e+04 
       1.247625379880e-02       2.430614070695e+04 
       1.260599026624e-02       2.436545872372e+04 
       1.273576314138e-02       2.442238895561e+04 
       1.286557232146e-02       2.447696069112e+04 
       1.299541773174e-02       2.452920452385e+04 
       1.312529932478e-02       2.457915438561e+04 
       1.325521707968e-02       2.462682933289e+04 
       1.338517100148e-02       2.467228368560e+04 
       1.351516112046e-02       2.471551645614e+04 
       1.364518749167e-02       2.475657011472e+04 
       1.377525019437e-02       2.479546870923e+04 
       1.390534933156e-02       2.483224740094e+04 
       1.403548502956e-02       2.486692551080e+04 
       1.416565743761e-02       2.489952837834e+04 
       1.429586672754e-02       2.493008916777e+04 
       1.442611309341e-02       2.495863875137e+04 
       1.455639675125e-02       2.498518766826e+04 
       1.468671793881e-02       2.500977591109e+04 
       1.481707691533e-02       2.503241680922e+04 
       1.494747396133e-02       2.505315132886e+04 
       1.507790937847e-02       2.507199878546e+04 
       1.520838348940e-02       2.508898501077e+04 
       1.533889663763e-02       2.510411980929e+04 
       1.546944918746e-02       2.511745377087e+04 
       1.560004152391e-02       2.512899580128e+04 
       1.573067405266e-02       2.513877474961e+04 
       1.586134720005e-02       2.514681991872e+04 
       1.599206141309e-02       2.515313463213e+04 
       1.612281715944e-02       2.515776707719e+04 
       1.625361492748e-02       2.516073870006e+04 
       1.638445522637e-02       2.516203902813e+04 
       1.651533858614e-02       2.516172428740e+04 
       1.664626555775e-02       2.515981915042e+04 
       1.677723671327e-02       2.515632315219e+04 
       1.690825264594e-02       2.515128496866e+04 
       1.703931397039e-02       2.514470658454e+04 
       1.717042132279e-02       2.513662483378e+04 
       1.730157536103e-02       2.512703916588e+04 
