# Matter power spectrum P(k) at redshift z=0
# for k=1.05216e-05 to 13.9014 h/Mpc,
# number of wavenumbers equal to 548
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052162017240e-05       5.650354078563e+01 
       2.350772107913e-05       1.212670450222e+02 
       3.654020024128e-05       1.843814491904e+02 
       4.965469873119e-05       2.467378220812e+02 
       6.288745637405e-05       3.088119849227e+02 
       7.627564016474e-05       3.709420255171e+02 
       8.985768334586e-05       4.334052176974e+02 
       1.036736397250e-04       4.964489925869e+02 
       1.177655578436e-04       5.603064920391e+02 
       1.321778796441e-04       6.252056554335e+02 
       1.469578682853e-04       6.913753011799e+02 
       1.621560696842e-04       7.590496350272e+02 
       1.778268121613e-04       8.284719535703e+02 
       1.940287481518e-04       8.998978741792e+02 
       2.108254412086e-04       9.735983723010e+02 
       2.282860003257e-04       1.049862659948e+03 
       2.464857617582e-04       1.129001060644e+03 
       2.655070157703e-04       1.211347842616e+03 
       2.854397717961e-04       1.297264009215e+03 
       3.063825500011e-04       1.387140008689e+03 
       3.284431797490e-04       1.481398295388e+03 
       3.517395755950e-04       1.580495549314e+03 
       3.764004487259e-04       1.684924411360e+03 
       4.025658960250e-04       1.795214487355e+03 
       4.303877902338e-04       1.911932245928e+03 
       4.600298737232e-04       2.035679427539e+03 
       4.916674368247e-04       2.167089513577e+03 
       5.254864425558e-04       2.306821687729e+03 
       5.616819476895e-04       2.455551726807e+03 
       6.004556721769e-04       2.613959419402e+03 
       6.420125931567e-04       2.782712027253e+03 
       6.865564946312e-04       2.962443875203e+03 
       7.342844955267e-04       3.153732331819e+03 
       7.853807074603e-04       3.357071053794e+03 
       8.400093291696e-04       3.572842225319e+03 
       8.983076443675e-04       3.801289632626e+03 
       9.603795189002e-04       4.042495394331e+03 
       1.026290051399e-03       4.296362960975e+03 
       1.096061986160e-03       4.562608503388e+03 
       1.169674336399e-03       4.840762651378e+03 
       1.247063410278e-03       5.130182516012e+03 
       1.328126131146e-03       5.430073289408e+03 
       1.412725263021e-03       5.739488351675e+03 
       1.500695952217e-03       6.057431380189e+03 
       1.591852910682e-03       6.382852482585e+03 
       1.685997597132e-03       6.714665048983e+03 
       1.782924870927e-03       7.051788629085e+03 
       1.882428759257e-03       7.393172705153e+03 
       1.984307149445e-03       7.737815335544e+03 
       2.088365365329e-03       8.084776721178e+03 
       2.194418694421e-03       8.433187122675e+03 
       2.302293998561e-03       8.782251907597e+03 
       2.411830570806e-03       9.131252418921e+03 
       2.522880404826e-03       9.479543654616e+03 
       2.635308029882e-03       9.826552111894e+03 
       2.748990042548e-03       1.017177008334e+04 
       2.863814441592e-03       1.051475256769e+04 
       2.979679848539e-03       1.085510955906e+04 
       3.096494675272e-03       1.119250270108e+04 
       3.214176282509e-03       1.152663885953e+04 
       3.332650158999e-03       1.185726646285e+04 
       3.451849140678e-03       1.218417000062e+04 
       3.571712681076e-03       1.250716281940e+04 
       3.692186178644e-03       1.282609216203e+04 
       3.813220362724e-03       1.314082640724e+04 
       3.934770737248e-03       1.345126010831e+04 
       4.056797079609e-03       1.375730183476e+04 
       4.179262991157e-03       1.405888179836e+04 
       4.302135495260e-03       1.435594509481e+04 
       4.425384678732e-03       1.464844705862e+04 
       4.548983372436e-03       1.493635749003e+04 
       4.672906867087e-03       1.521965228349e+04 
       4.797132660503e-03       1.549832597001e+04 
       4.921640232876e-03       1.577235826872e+04 
       5.046410846930e-03       1.604177790364e+04 
       5.171427370143e-03       1.630658317197e+04 
       5.296674116521e-03       1.656678481269e+04 
       5.422136705660e-03       1.682240241911e+04 
       5.547801937108e-03       1.707345595089e+04 
       5.673657678258e-03       1.731996701660e+04 
       5.799692764211e-03       1.756196974229e+04 
       5.925896908236e-03       1.779948675677e+04 
       6.052260621603e-03       1.803255472704e+04 
       6.178775141736e-03       1.826121233236e+04 
       6.305432367739e-03       1.848548968958e+04 
       6.432224802458e-03       1.870542313433e+04 
       6.559145500367e-03       1.892105684470e+04 
       6.686188020621e-03       1.913242408535e+04 
       6.813346384718e-03       1.933957289162e+04 
       6.940615038267e-03       1.954254445140e+04 
       7.067988816420e-03       1.974137534748e+04 
       7.195462912579e-03       1.993611152070e+04 
       7.323032850035e-03       2.012679585103e+04 
       7.450694456232e-03       2.031346504042e+04 
       7.578443839380e-03       2.049616973650e+04 
       7.706277367195e-03       2.067495295092e+04 
       7.834191647523e-03       2.084986418367e+04 
       7.962183510688e-03       2.102092909512e+04 
       8.090249993374e-03       2.118820722463e+04 
