# Matter power spectrum P(k) at redshift z=0
# for k=1.05216e-05 to 13.9014 h/Mpc,
# number of wavenumbers equal to 548
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052162017240e-05       5.650354078563e+01 
       2.350772107913e-05       1.212670450222e+02 
       3.654020024128e-05       1.843814491905e+02 
       4.965469873119e-05       2.467378220814e+02 
       6.288745637405e-05       3.088119849231e+02 
       7.627564016474e-05       3.709420255177e+02 
       8.985768334586e-05       4.334052176984e+02 
       1.036736397250e-04       4.964489925884e+02 
       1.177655578436e-04       5.603064920413e+02 
       1.321778796441e-04       6.252056554366e+02 
       1.469578682853e-04       6.913753011840e+02 
       1.621560696842e-04       7.590496350327e+02 
       1.778268121613e-04       8.284719535773e+02 
       1.940287481518e-04       8.998978741880e+02 
       2.108254412086e-04       9.735983723120e+02 
       2.282860003257e-04       1.049862659961e+03 
       2.464857617582e-04       1.129001060661e+03 
       2.655070157703e-04       1.211347842636e+03 
       2.854397717961e-04       1.297264009239e+03 
       3.063825500011e-04       1.387140008717e+03 
       3.284431797490e-04       1.481398295422e+03 
       3.517395755950e-04       1.580495549353e+03 
       3.764004487259e-04       1.684924411406e+03 
       4.025658960250e-04       1.795214487409e+03 
       4.303877902338e-04       1.911932245990e+03 
       4.600298737232e-04       2.035679427610e+03 
       4.916674368247e-04       2.167089513657e+03 
       5.254864425558e-04       2.306821687819e+03 
       5.616819476895e-04       2.455551726907e+03 
       6.004556721769e-04       2.613959419510e+03 
       6.420125931567e-04       2.782712027367e+03 
       6.865564946312e-04       2.962443875320e+03 
       7.342844955267e-04       3.153732331931e+03 
       7.853807074603e-04       3.357071053893e+03 
       8.400093291696e-04       3.572842225390e+03 
       8.983076443675e-04       3.801289632648e+03 
       9.603795189002e-04       4.042495394274e+03 
       1.026290051399e-03       4.296362960798e+03 
       1.096061986160e-03       4.562608503036e+03 
       1.169674336399e-03       4.840762650777e+03 
       1.247063410278e-03       5.130182515065e+03 
       1.328126131146e-03       5.430073287991e+03 
       1.412725263021e-03       5.739488349632e+03 
       1.500695952217e-03       6.057431377324e+03 
       1.591852910682e-03       6.382852478656e+03 
       1.685997597132e-03       6.714665043700e+03 
       1.782924870927e-03       7.051788622098e+03 
       1.882428759257e-03       7.393172696048e+03 
       1.984307149445e-03       7.737815323837e+03 
       2.088365365329e-03       8.084776706308e+03 
       2.194418694421e-03       8.433187103997e+03 
       2.302293998561e-03       8.782251884378e+03 
       2.411830570806e-03       9.131252390331e+03 
       2.522880404826e-03       9.479543619726e+03 
       2.635308029882e-03       9.826552069667e+03 
       2.748990042548e-03       1.017177003263e+04 
       2.863814441592e-03       1.051475250723e+04 
       2.979679848539e-03       1.085510948747e+04 
       3.096494675272e-03       1.119250261685e+04 
       3.214176282509e-03       1.152663876102e+04 
       3.332650158999e-03       1.185726634828e+04 
       3.451849140678e-03       1.218416986808e+04 
       3.571712681076e-03       1.250716266685e+04 
       3.692186178644e-03       1.282609198727e+04 
       3.813220362724e-03       1.314082620793e+04 
       3.934770737248e-03       1.345125988196e+04 
       4.056797079609e-03       1.375730157873e+04 
       4.179262991157e-03       1.405888150985e+04 
       4.302135495260e-03       1.435594477086e+04 
       4.425384678732e-03       1.464844669612e+04 
       4.548983372436e-03       1.493635708570e+04 
       4.672906867087e-03       1.521965183392e+04 
       4.797132660503e-03       1.549832547157e+04 
       4.921640232876e-03       1.577235771766e+04 
       5.046410846930e-03       1.604177729603e+04 
       5.171427370143e-03       1.630658250370e+04 
       5.296674116521e-03       1.650791434912e+04 
       5.422136705660e-03       1.676126545071e+04 
       5.547801937108e-03       1.701003027249e+04 
       5.673657678258e-03       1.725423181802e+04 
       5.799692764211e-03       1.749390555266e+04 
       5.925896908236e-03       1.772907548087e+04 
       6.052260621603e-03       1.795977958005e+04 
       6.178775141736e-03       1.818605781921e+04 
       6.305432367739e-03       1.840794162870e+04 
       6.432224802458e-03       1.862546861948e+04 
       6.559145500367e-03       1.883868419679e+04 
       6.686188020621e-03       1.904762288589e+04 
       6.813346384718e-03       1.925233390150e+04 
       6.940615038267e-03       1.945285962505e+04 
       7.067988816420e-03       1.964923783869e+04 
       7.195462912579e-03       1.984151562217e+04 
       7.323032850035e-03       2.002973699116e+04 
       7.450694456232e-03       2.021393979664e+04 
       7.578443839380e-03       2.039417574839e+04 
       7.706277367195e-03       2.057048893908e+04 
       7.834191647523e-03       2.074292989735e+04 
       7.962183510688e-03       2.091152541796e+04 
       8.090249993374e-03       2.107633597882e+04 
