# Matter power spectrum P(k) at redshift z=0
# for k=1.05187e-05 to 14.3657 h/Mpc,
# number of wavenumbers equal to 549
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.051869541590e-05       5.175122345075e+01 
       2.349775499059e-05       1.119484680253e+02 
       3.652312506126e-05       1.709582649799e+02 
       4.963038857034e-05       2.294727909764e+02 
       6.285572566156e-05       2.878786126471e+02 
       7.623624120186e-05       3.464611291468e+02 
       8.981030292540e-05       4.054616848667e+02 
       1.036178947603e-04       4.651008187759e+02 
       1.177009899336e-04       5.255901379530e+02 
       1.321039484833e-04       5.871394234799e+02 
       1.468739438105e-04       6.499615188798e+02 
       1.620614228339e-04       7.142760847422e+02 
       1.777206041087e-04       7.803127874061e+02 
       1.939100178599e-04       8.483141603304e+02 
       2.106930911511e-04       9.185383607207e+02 
       2.281387802185e-04       9.912618331303e+02 
       2.463222501614e-04       1.066782017680e+03 
       2.653255994530e-04       1.145420031912e+03 
       2.852386228197e-04       1.227523359326e+03 
       3.061596005702e-04       1.313468487793e+03 
       3.281960950316e-04       1.403663376206e+03 
       3.514657249216e-04       1.498549686354e+03 
       3.760968758758e-04       1.598604510416e+03 
       4.022292896946e-04       1.704341448429e+03 
       4.300144562828e-04       1.816310587603e+03 
       4.596157113937e-04       1.935097157092e+03 
       4.912079218150e-04       2.061318224728e+03 
       5.249766205345e-04       2.195617039890e+03 
       5.611164424630e-04       2.338654412211e+03 
       5.998287131019e-04       2.491096701625e+03 
       6.413180663012e-04       2.653599995984e+03 
       6.857880213871e-04       2.826790457749e+03 
       7.334355406261e-04       3.011241118231e+03 
       7.844447155502e-04       3.207445956180e+03 
       8.389798853738e-04       3.415792788354e+03 
       8.971786500673e-04       3.636536915216e+03 
       9.591453700874e-04       3.869778055663e+03 
       1.024945804380e-03       4.115443270782e+03 
       1.094603495049e-03       4.373277891918e+03 
       1.168098349168e-03       4.642846388338e+03 
       1.245367614954e-03       4.923543242879e+03 
       1.326309150046e-03       5.214613312124e+03 
       1.410786599351e-03       5.515154438909e+03 
       1.498635898519e-03       5.824204440986e+03 
       1.589672431628e-03       6.140753697993e+03 
       1.683698199762e-03       6.463751321807e+03 
       1.780508474053e-03       6.792149404035e+03 
       1.879897571101e-03       7.124926373636e+03 
       1.981663559495e-03       7.461105441177e+03 
       2.085611853470e-03       7.799768158776e+03 
       2.191557758065e-03       8.140062775297e+03 
       2.299328096839e-03       8.481208917127e+03 
       2.408762083904e-03       8.822499316858e+03 
       2.519711606089e-03       9.163297743285e+03 
       2.632041068249e-03       9.503036767084e+03 
       2.745626933029e-03       9.841213301029e+03 
       2.860357061799e-03       1.017738446640e+04 
       2.976129939606e-03       1.051116144581e+04 
       3.092853845834e-03       1.084220543102e+04 
       3.210446014684e-03       1.117022222087e+04 
       3.328831815614e-03       1.149495805755e+04 
       3.447943973123e-03       1.181619456951e+04 
       3.567721837397e-03       1.213374228864e+04 
       3.688110711566e-03       1.244744417587e+04 
       3.809061237414e-03       1.275716467260e+04 
       3.930528838699e-03       1.306279396739e+04 
       4.052473219567e-03       1.336423626853e+04 
       4.174857914551e-03       1.366141721213e+04 
       4.297649886143e-03       1.395427664427e+04 
       4.420819165723e-03       1.424276529742e+04 
