# Matter power spectrum P(k) at redshift z=0
# for k=1.04923e-05 to 13.8458 h/Mpc,
# number of wavenumbers equal to 548
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049232247035e-05       5.213257133530e+01 
       2.345523593752e-05       1.128491122881e+02 
       3.646425159762e-05       1.723663773313e+02 
       4.955481903676e-05       2.313826831014e+02 
       6.276298101726e-05       2.902876827715e+02 
       7.612569894774e-05       3.493688818670e+02 
       8.968118887938e-05       4.088692913265e+02 
       1.034692725499e-04       4.690108926291e+02 
       1.175317480310e-04       5.300066054257e+02 
       1.319127845698e-04       5.920674522092e+02 
       1.466593462158e-04       6.554074789658e+02 
       1.618216487627e-04       7.202475428684e+02 
       1.774536543295e-04       7.868184946393e+02 
       1.936136075092e-04       8.553640783547e+02 
       2.103646162897e-04       9.261436714862e+02 
       2.277752797860e-04       9.994349859327e+02 
       2.459203630093e-04       1.075536756534e+03 
       2.648815162194e-04       1.154771444639e+03 
       2.847480325501e-04       1.237487933612e+03 
       3.056176322223e-04       1.324064163091e+03 
       3.275972543450e-04       1.414909626368e+03 
       3.508038276357e-04       1.510467586440e+03 
       3.753649789627e-04       1.611216842230e+03 
       4.014196231875e-04       1.717672794916e+03 
       4.291183594352e-04       1.830387495957e+03 
       4.586235783056e-04       1.949948276093e+03 
       4.901091632438e-04       2.076974530424e+03 
       5.237596502464e-04       2.212112072246e+03 
       5.597686979183e-04       2.356024604118e+03 
       5.983367211322e-04       2.509381733082e+03 
       6.396675642168e-04       2.672843240880e+03 
       6.839641420622e-04       2.847039458842e+03 
       7.314230660280e-04       3.032548094458e+03 
       7.822283966550e-04       3.229868284407e+03 
       8.365448177365e-04       3.439393400640e+03 
       8.945106845460e-04       3.661384514950e+03 
       9.562315291821e-04       3.895947077439e+03 
       1.021774668661e-03       4.143013464972e+03 
       1.091165523318e-03       4.402333583797e+03 
       1.164386101462e-03       4.673475235886e+03 
       1.241375858705e-03       4.955834699782e+03 
       1.322034844468e-03       5.248656746253e+03 
       1.406228768183e-03       5.551035784823e+03 
       1.493795413366e-03       5.862008166223e+03 
       1.584551735226e-03       6.180557327060e+03 
       1.678300999947e-03       6.505625111812e+03 
       1.774839435990e-03       6.836155162310e+03 
       1.873962029110e-03       7.171116678673e+03 
       1.975467262546e-03       7.509523187963e+03 
       2.079160751554e-03       7.850446585530e+03 
       2.184857831100e-03       8.193025351441e+03 
       2.292385223890e-03       8.536470235220e+03 
       2.401581948153e-03       8.880065014658e+03 
       2.512299629949e-03       9.223165620769e+03 
       2.624402372809e-03       9.565197861143e+03 
       2.737766316453e-03       9.905651093085e+03 
       2.852278991948e-03       1.024407784589e+04 
       2.967838556955e-03       1.058008331948e+04 
       3.084352973527e-03       1.091332438881e+04 
       3.201739173283e-03       1.124350332882e+04 
       3.319922240667e-03       1.157036268122e+04 
       3.438834634197e-03       1.189368140239e+04 
       3.558415457581e-03       1.221326742933e+04 
       3.678609786779e-03       1.252896187277e+04 
       3.799368055043e-03       1.284062850765e+04 
       3.920645495294e-03       1.314815363610e+04 
       4.042401637421e-03       1.345144290682e+04 
       4.164599857097e-03       1.375042043029e+04 
       4.287206972133e-03       1.404502437434e+04 
       4.410192882226e-03       1.433520836722e+04 
       4.533530247960e-03       1.462093446335e+04 
       4.657194205091e-03       1.490217692072e+04 
       4.781162110383e-03       1.517892012885e+04 
       4.905413315578e-03       1.545114175718e+04 
       5.029928966360e-03       1.571886748886e+04 
       5.154691823485e-03       1.598209130944e+04 
       5.279686103568e-03       1.624081927281e+04 
       5.404897337246e-03       1.649506701108e+04 
       5.530312242736e-03       1.674485093192e+04 
       5.655918612993e-03       1.699018876671e+04 
       5.781705214922e-03       1.723111104940e+04 
       5.907661699236e-03       1.746763884225e+04 
       6.033778519772e-03       1.769980288600e+04 
       6.160046861154e-03       1.792763923204e+04 
       6.286458573889e-03       1.815117786613e+04 
       6.413006116048e-03       1.837044871714e+04 
       6.539682500801e-03       1.858549705483e+04 
       6.666481249153e-03       1.879634974553e+04 
       6.793396347327e-03       1.900305202418e+04 
       6.920422208277e-03       1.920564552374e+04 
       7.047553636885e-03       1.940416352004e+04 
       7.174785798468e-03       1.959864918471e+04 
       7.302114190225e-03       1.978914305948e+04 
       7.429534615329e-03       1.997568058164e+04 
       7.557043159395e-03       2.015830818197e+04 
       7.684636169069e-03       2.033706924673e+04 
       7.812310232534e-03       2.051201092920e+04 
       7.940062161739e-03       2.068315611862e+04 
       8.067888976184e-03       2.085056298719e+04 
       8.195787888093e-03       2.101426875212e+04 
       8.323756288873e-03       2.117429709225e+04 
       8.451791736696e-03       2.133071676953e+04 
       8.579891945135e-03       2.148356552005e+04 
       8.708054772728e-03       2.163287212687e+04 
       8.836278213402e-03       2.177868337523e+04 
       8.964560387672e-03       2.192103105397e+04 
       9.092899534535e-03       2.205996583867e+04 
       9.221294004024e-03       2.219552319049e+04 
       9.349742250328e-03       2.232774360947e+04 
       9.478242825461e-03       2.245666420496e+04 
       9.606794373412e-03       2.258232740581e+04 
       9.735395624741e-03       2.270476337161e+04 
       9.864045391591e-03       2.282402097305e+04 
       9.992742563062e-03       2.294012016454e+04 
       1.012148610094e-02       2.305311216298e+04 
       1.025027503575e-02       2.316303168453e+04 
       1.037910846305e-02       2.326991315091e+04 
       1.050798554007e-02       2.337378751467e+04 
       1.063690548255e-02       2.347470049850e+04 
       1.076586756178e-02       2.357267525219e+04 
       1.089487110190e-02       2.366775791018e+04 
       1.102391547739e-02       2.375998711929e+04 
       1.115300011070e-02       2.384937727734e+04 
       1.128212447006e-02       2.393598820540e+04 
       1.141128806750e-02       2.401983241296e+04 
       1.154049045688e-02       2.410095627526e+04 
       1.166973123222e-02       2.417938810170e+04 
       1.179901002603e-02       2.425516661485e+04 
       1.192832650778e-02       2.432832397769e+04 
       1.205768038250e-02       2.439888520140e+04 
       1.218707138949e-02       2.446688315847e+04 
       1.231649930107e-02       2.453236016808e+04 
       1.244596392145e-02       2.459534029054e+04 
       1.257546508569e-02       2.465585488902e+04 
       1.270500265871e-02       2.471393502860e+04 
       1.283457653440e-02       2.476961537082e+04 
       1.296418663476e-02       2.482292378376e+04 
       1.309383290912e-02       2.487390005962e+04 
       1.322351533343e-02       2.492255741883e+04 
       1.335323390961e-02       2.496893762108e+04 
       1.348298866489e-02       2.501306964517e+04 
       1.361277965131e-02       2.505497856491e+04 
       1.374260694512e-02       2.509469438871e+04 
       1.387247064639e-02       2.513224027742e+04 
       1.400237087851e-02       2.516763617040e+04 
       1.413230778784e-02       2.520093890048e+04 
       1.426228154333e-02       2.523213801795e+04 
       1.439229233618e-02       2.526129634460e+04 
       1.452234037960e-02       2.528841340262e+04 
       1.465242590851e-02       2.531352612950e+04 
       1.478254917932e-02       2.533665841511e+04 
       1.491271046977e-02       2.535783517234e+04 
       1.504291007869e-02       2.537709674881e+04 
       1.517314832594e-02       2.539444756432e+04 
       1.530342555223e-02       2.540991987575e+04 
       1.543374211904e-02       2.542354185249e+04 
       1.556409840857e-02       2.543534526086e+04 
       1.569449482370e-02       2.544533807786e+04 
       1.582493178792e-02       2.545354994802e+04 
       1.595540974539e-02       2.546000205244e+04 
       1.608592916090e-02       2.546473763760e+04 
       1.621649051997e-02       2.546776846820e+04 
       1.634709432883e-02       2.546910519493e+04 
       1.647774111459e-02       2.546877870988e+04 
       1.660843142528e-02       2.546683166910e+04 
       1.673916582996e-02       2.546324875426e+04 
       1.686994491889e-02       2.545810495371e+04 
       1.700076930366e-02       2.545137205528e+04 
       1.713163961735e-02       2.544309272518e+04 
       1.726255651476e-02       2.543328751126e+04 
       1.739352067254e-02       2.542198915953e+04 
       1.752453278950e-02       2.540919867522e+04 
       1.765559358677e-02       2.539495389173e+04 
