# Matter power spectrum P(k) at redshift z=0
# for k=1.04923e-05 to 13.8458 h/Mpc,
# number of wavenumbers equal to 548
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049232247035e-05       5.213257133530e+01 
       2.345523593752e-05       1.128491122881e+02 
       3.646425159762e-05       1.723663773313e+02 
       4.955481903676e-05       2.313826831015e+02 
       6.276298101726e-05       2.902876827718e+02 
       7.612569894774e-05       3.493688818676e+02 
       8.968118887938e-05       4.088692913274e+02 
       1.034692725499e-04       4.690108926306e+02 
       1.175317480310e-04       5.300066054278e+02 
       1.319127845698e-04       5.920674522122e+02 
       1.466593462158e-04       6.554074789697e+02 
       1.618216487627e-04       7.202475428736e+02 
       1.774536543295e-04       7.868184946459e+02 
       1.936136075092e-04       8.553640783630e+02 
       2.103646162897e-04       9.261436714967e+02 
       2.277752797860e-04       9.994349859456e+02 
       2.459203630093e-04       1.075536756550e+03 
       2.648815162194e-04       1.154771444659e+03 
       2.847480325501e-04       1.237487933635e+03 
       3.056176322223e-04       1.324064163118e+03 
       3.275972543450e-04       1.414909626400e+03 
       3.508038276357e-04       1.510467586478e+03 
       3.753649789627e-04       1.611216842274e+03 
       4.014196231875e-04       1.717672794968e+03 
       4.291183594352e-04       1.830387496017e+03 
       4.586235783056e-04       1.949948276161e+03 
       4.901091632438e-04       2.076974530500e+03 
       5.237596502464e-04       2.212112072332e+03 
       5.597686979183e-04       2.356024604213e+03 
       5.983367211322e-04       2.509381733186e+03 
       6.396675642168e-04       2.672843240990e+03 
       6.839641420622e-04       2.847039458954e+03 
       7.314230660280e-04       3.032548094567e+03 
       7.822283966550e-04       3.229868284504e+03 
       8.365448177365e-04       3.439393400711e+03 
       8.945106845460e-04       3.661384514975e+03 
       9.562315291821e-04       3.895947077389e+03 
       1.021774668661e-03       4.143013464810e+03 
       1.091165523318e-03       4.402333583469e+03 
       1.164386101462e-03       4.673475235323e+03 
       1.241375858705e-03       4.955834698892e+03 
       1.322034844468e-03       5.248656744916e+03 
       1.406228768183e-03       5.551035782891e+03 
       1.493795413366e-03       5.862008163508e+03 
       1.584551735226e-03       6.180557323332e+03 
       1.678300999947e-03       6.505625106791e+03 
       1.774839435990e-03       6.836155155661e+03 
       1.873962029110e-03       7.171116669997e+03 
       1.975467262546e-03       7.509523176796e+03 
       2.079160751554e-03       7.850446571330e+03 
       2.184857831100e-03       8.193025333588e+03 
       2.292385223890e-03       8.536470213005e+03 
       2.401581948153e-03       8.880064987279e+03 
       2.512299629949e-03       9.223165587329e+03 
       2.624402372809e-03       9.565197820637e+03 
       2.737766316453e-03       9.905651044404e+03 
       2.852278991948e-03       1.024407778780e+04 
       2.967838556955e-03       1.058008325065e+04 
       3.084352973527e-03       1.091332430778e+04 
       3.201739173283e-03       1.124350323399e+04 
       3.319922240667e-03       1.157036257086e+04 
       3.438834634197e-03       1.189368127465e+04 
       3.558415457581e-03       1.221326728221e+04 
       3.678609786779e-03       1.252896170414e+04 
       3.799368055043e-03       1.284062831523e+04 
       3.920645495294e-03       1.314815341747e+04 
       4.042401637421e-03       1.345144265939e+04 
       4.164599857097e-03       1.375042015134e+04 
       4.287206972133e-03       1.404502406098e+04 
       4.410192882226e-03       1.433520801643e+04 
       4.533530247960e-03       1.462093407192e+04 
       4.657194205091e-03       1.490217648530e+04 
       4.781162110383e-03       1.517891964593e+04 
       4.905413315578e-03       1.545114122307e+04 
       5.029928966360e-03       1.571886689972e+04 
       5.154691823485e-03       1.598209066127e+04 
       5.279686103568e-03       1.618328057244e+04 
       5.404897337246e-03       1.643529669634e+04 
       5.530312242736e-03       1.668282649677e+04 
       5.655918612993e-03       1.692588908125e+04 
       5.781705214922e-03       1.716451630483e+04 
       5.907661699236e-03       1.739873058042e+04 
       6.033778519772e-03       1.762856395316e+04 
       6.160046861154e-03       1.785405374668e+04 
       6.286458573889e-03       1.807523123300e+04 
       6.413006116048e-03       1.829212761703e+04 
       6.539682500801e-03       1.850478936556e+04 
       6.666481249153e-03       1.871324460909e+04 
       6.793396347327e-03       1.891753975155e+04 
       6.920422208277e-03       1.911771759500e+04 
       7.047553636885e-03       1.931381260810e+04 
       7.174785798468e-03       1.950586909382e+04 
       7.302114190225e-03       1.969392872104e+04 
       7.429534615329e-03       1.987802806307e+04 
       7.557043159395e-03       2.005821461576e+04 
       7.684636169069e-03       2.023453282719e+04 
       7.812310232534e-03       2.040703087457e+04 
       7.940062161739e-03       2.057573277964e+04 
       8.067888976184e-03       2.074069764548e+04 
       8.195787888093e-03       2.090196371060e+04 
       8.323756288873e-03       2.105955573222e+04 
       8.451791736696e-03       2.121354328586e+04 
       8.579891945135e-03       2.136396506941e+04 
       8.708054772728e-03       2.151085086066e+04 
       8.836278213402e-03       2.165424831979e+04 
       8.964560387672e-03       2.179419017722e+04 
       9.092899534535e-03       2.193072792142e+04 
       9.221294004024e-03       2.206389789507e+04 
       9.349742250328e-03       2.219374143095e+04 
       9.478242825461e-03       2.232029647204e+04 
       9.606794373412e-03       2.244360622896e+04 
       9.735395624741e-03       2.256370169902e+04 
       9.864045391591e-03       2.268063245535e+04 
       9.992742563062e-03       2.279441931631e+04 
       1.012148610094e-02       2.290511414692e+04 
       1.025027503575e-02       2.301275239536e+04 
       1.037910846305e-02       2.311736919835e+04 
       1.050798554007e-02       2.321899622731e+04 
       1.063690548255e-02       2.331767980730e+04 
       1.076586756178e-02       2.341344382025e+04 
       1.089487110190e-02       2.350633496067e+04 
       1.102391547739e-02       2.359639246477e+04 
       1.115300011070e-02       2.368363146635e+04 
       1.128212447006e-02       2.376811219304e+04 
       1.141128806750e-02       2.384984786649e+04 
       1.154049045688e-02       2.392888532148e+04 
       1.166973123222e-02       2.400525343327e+04 
       1.179901002603e-02       2.407899139824e+04 
       1.192832650778e-02       2.415013188039e+04 
       1.205768038250e-02       2.421870042504e+04 
       1.218707138949e-02       2.428473036455e+04 
       1.231649930107e-02       2.434826439024e+04 
       1.244596392145e-02       2.440932704877e+04 
       1.257546508569e-02       2.446795011878e+04 
       1.270500265871e-02       2.452416506492e+04 
       1.283457653440e-02       2.457800690349e+04 
       1.296418663476e-02       2.462950389001e+04 
       1.309383290912e-02       2.467869609671e+04 
       1.322351533343e-02       2.472559720720e+04 
       1.335323390961e-02       2.477024921144e+04 
       1.348298866489e-02       2.481268139766e+04 
       1.361277965131e-02       2.485291916235e+04 
       1.374260694512e-02       2.489099278210e+04 
       1.387247064639e-02       2.492692572241e+04 
       1.400237087851e-02       2.496073823674e+04 
       1.413230778784e-02       2.499248716718e+04 
       1.426228154333e-02       2.502216258367e+04 
       1.439229233618e-02       2.504982723691e+04 
       1.452234037960e-02       2.507548106047e+04 
       1.465242590851e-02       2.509916109285e+04 
       1.478254917932e-02       2.512089141267e+04 
       1.491271046977e-02       2.514069709851e+04 
       1.504291007869e-02       2.515861852475e+04 
       1.517314832594e-02       2.517466041153e+04 
       1.530342555223e-02       2.518885507840e+04 
       1.543374211904e-02       2.520123077560e+04 
       1.556409840857e-02       2.521181930668e+04 
       1.569449482370e-02       2.522062886519e+04 
       1.582493178792e-02       2.522768912288e+04 
       1.595540974539e-02       2.523302134339e+04 
       1.608592916090e-02       2.523666866181e+04 
       1.621649051997e-02       2.523864297564e+04 
       1.634709432883e-02       2.523895506542e+04 
       1.647774111459e-02       2.523763577444e+04 
       1.660843142528e-02       2.523472760004e+04 
       1.673916582996e-02       2.523021553091e+04 
       1.686994491889e-02       2.522417410537e+04 
       1.700076930366e-02       2.521657550168e+04 
       1.713163961735e-02       2.520746217950e+04 
       1.726255651476e-02       2.519685465152e+04 
       1.739352067254e-02       2.518478551638e+04 
       1.752453278950e-02       2.517125588432e+04 
       1.765559358677e-02       2.515630337762e+04 
