# Matter power spectrum P(k) at redshift z=0
# for k=1.04798e-05 to 13.8999 h/Mpc,
# number of wavenumbers equal to 548
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047983747043e-05       5.207625966241e+01 
       2.346584621151e-05       1.129057074894e+02 
       3.649811905084e-05       1.725331658553e+02 
       4.961229565527e-05       2.316607874987e+02 
       6.284461339920e-05       2.906804539402e+02 
       7.623223575444e-05       3.498817206257e+02 
       8.981359132659e-05       4.095095145960e+02 
       1.036287281159e-04       4.697878018534e+02 
       1.177196876145e-04       5.309316132488e+02 
       1.321309033878e-04       5.931542795656e+02 
       1.469096287877e-04       6.566724073966e+02 
       1.621063983792e-04       7.217097322973e+02 
       1.777755274566e-04       7.885003601622e+02 
       1.939756536129e-04       8.572917358828e+02 
       2.107703235930e-04       9.283475019770e+02 
       2.282286274636e-04       1.001950240925e+03 
       2.464258802827e-04       1.078404347904e+03 
       2.654443487100e-04       1.158038799213e+03 
       2.853740160610e-04       1.241210028915e+03 
       3.063133738093e-04       1.328304718293e+03 
       3.283702200727e-04       1.419742473308e+03 
       3.516624357386e-04       1.515978238586e+03 
       3.763186961956e-04       1.617504263181e+03 
       4.024790609047e-04       1.724851363199e+03 
       4.302953643460e-04       1.838589140386e+03 
       4.599313109244e-04       1.959324768187e+03 
       4.915621548512e-04       2.087699792698e+03 
       5.253738268901e-04       2.224384432566e+03 
       5.615613579358e-04       2.370068783076e+03 
       6.003264513986e-04       2.525450289383e+03 
       6.418740805044e-04       2.691217207541e+03 
       6.864080413564e-04       2.868027753227e+03 
       7.341254841215e-04       3.056485388330e+03 
       7.852105731940e-04       3.257110911566e+03 
       8.398275827727e-04       3.470313231073e+03 
       8.981138941243e-04       3.696360799731e+03 
       9.601734900905e-04       3.935356664495e+03 
       1.026071600992e-03       4.187220194549e+03 
       1.095831110998e-03       4.451677877052e+03 
       1.169431173801e-03       4.728264921501e+03 
       1.246808230909e-03       5.016338487906e+03 
       1.327859325000e-03       5.315100540989e+03 
       1.412447320125e-03       5.623600203372e+03 
       1.500407440168e-03       5.940835176114e+03 
       1.591554451200e-03       6.265750428806e+03 
       1.685689843538e-03       6.597254725378e+03 
       1.782608487997e-03       6.934263475033e+03 
       1.882104406311e-03       7.275722125620e+03 
       1.983975467043e-03       7.620624599269e+03 
       2.088026965495e-03       7.968026728073e+03 
       2.194074154057e-03       8.317054238598e+03 
       2.301943855562e-03       8.666907729222e+03 
       2.411475322328e-03       9.016863531892e+03 
       2.522520507197e-03       9.366271492279e+03 
       2.634943899680e-03       9.714552463138e+03 
       2.748622058476e-03       1.006119353918e+04 
       2.863442946843e-03       1.040574357587e+04 
       2.979305153419e-03       1.074780687944e+04 
       3.096117059914e-03       1.108703918431e+04 
       3.213795999560e-03       1.142314146871e+04 
       3.332267436213e-03       1.175585640411e+04 
       3.451464183347e-03       1.208496248790e+04 
       3.571325674291e-03       1.241026758256e+04 
       3.691797289372e-03       1.273161324863e+04 
       3.812829741685e-03       1.304886249501e+04 
       3.934378520620e-03       1.336190445784e+04 
       4.056403390558e-03       1.367064261224e+04 
       4.178867941202e-03       1.397500210456e+04 
       4.301739185498e-03       1.427492318206e+04 
       4.424987200928e-03       1.457035649687e+04 
       4.548584809991e-03       1.486126724107e+04 
       4.672507295903e-03       1.514763058451e+04 
       4.796732149749e-03       1.542942578896e+04 
       4.921238845672e-03       1.570663638297e+04 
       5.046008640949e-03       1.597929533801e+04 
       5.171024398156e-03       1.624738376825e+04 
       5.296270426876e-03       1.645056370780e+04 
       5.421732342708e-03       1.670721100531e+04 
       5.547396941589e-03       1.695930832549e+04 
       5.673252087638e-03       1.720687766564e+04 
       5.799286612991e-03       1.744994737066e+04 
       5.925490228220e-03       1.768853566342e+04 
       6.051853442146e-03       1.792269756740e+04 
       6.178367489963e-03       1.815244877982e+04 
       6.305024268738e-03       1.837782600207e+04 
       6.431816279461e-03       1.859886496562e+04 
       6.558736574906e-03       1.881560655072e+04 
       6.685778712674e-03       1.902808823393e+04 
       6.812936712839e-03       1.923635077698e+04 
       6.940205019699e-03       1.944043723841e+04 
       7.067578467205e-03       1.964038485330e+04 
       7.195052247652e-03       1.983623604982e+04 
       7.322621883311e-03       2.002803636800e+04 
       7.450283200684e-03       2.021582072116e+04 
       7.578032307116e-03       2.039963737404e+04 
       7.705865569515e-03       2.057952794635e+04 
       7.833779594985e-03       2.075554298394e+04 
