# Matter power spectrum P(k) at redshift z=0
# for k=1.05216e-05 to 13.9014 h/Mpc,
# number of wavenumbers equal to 548
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052162017240e-05       5.194528146509e+01 
       2.350772107913e-05       1.123840074321e+02 
       3.654020024128e-05       1.716305314582e+02 
       4.965469873119e-05       2.303800904440e+02 
       6.288745637405e-05       2.890210011821e+02 
       7.627564016474e-05       3.478399913984e+02 
       8.985768334586e-05       4.070795648097e+02 
       1.036736397250e-04       4.669613449535e+02 
       1.177655578436e-04       5.276980038943e+02 
       1.321778796441e-04       5.895003939268e+02 
       1.469578682853e-04       6.525824695459e+02 
       1.621560696842e-04       7.171650585020e+02 
       1.778268121613e-04       7.834790663963e+02 
       1.940287481518e-04       8.517683542013e+02 
       2.108254412086e-04       9.222925133550e+02 
       2.282860003257e-04       9.953295465393e+02 
       2.464857617582e-04       1.071178586449e+03 
       2.655070157703e-04       1.150162607096e+03 
       2.854397717961e-04       1.232631120277e+03 
       3.063825500011e-04       1.318962816481e+03 
       3.284431797490e-04       1.409568081784e+03 
       3.517395755950e-04       1.504891203107e+03 
       3.764004487259e-04       1.605412121426e+03 
       4.025658960250e-04       1.711647492137e+03 
       4.303877902338e-04       1.824150687859e+03 
       4.600298737232e-04       1.943510369022e+03 
       4.916674368247e-04       2.070347179534e+03 
       5.254864425558e-04       2.205308010181e+03 
       5.616819476895e-04       2.349057273828e+03 
       6.004556721769e-04       2.502264788008e+03 
       6.420125931567e-04       2.665589779471e+03 
       6.865564946312e-04       2.839661072504e+03 
       7.342844955267e-04       3.025053696403e+03 
       7.853807074603e-04       3.222262741241e+03 
       8.400093291696e-04       3.431676127025e+03 
       8.983076443675e-04       3.653548072780e+03 
       9.603795189002e-04       3.887976010995e+03 
       1.026290051399e-03       4.134883511165e+03 
       1.096061986160e-03       4.394011312279e+03 
       1.169674336399e-03       4.664918414908e+03 
       1.247063410278e-03       4.946993224823e+03 
       1.328126131146e-03       5.239474107053e+03 
       1.412725263021e-03       5.541449373627e+03 
       1.500695952217e-03       5.851955893140e+03 
       1.591852910682e-03       6.169975658313e+03 
       1.685997597132e-03       6.494452382567e+03 
       1.782924870927e-03       6.824333316473e+03 
       1.882428759257e-03       7.158592662331e+03 
       1.984307149445e-03       7.496250035879e+03 
       2.088365365329e-03       7.836383999533e+03 
       2.194418694421e-03       8.178140093231e+03 
       2.302293998561e-03       8.520736043956e+03 
       2.411830570806e-03       8.863462880517e+03 
       2.522880404826e-03       9.205682909355e+03 
       2.635308029882e-03       9.546827807936e+03 
       2.748990042548e-03       9.886393235418e+03 
       2.863814441592e-03       1.022393594953e+04 
       2.979679848539e-03       1.055906640410e+04 
       3.096494675272e-03       1.089144556431e+04 
       3.214176282509e-03       1.122077870657e+04 
       3.332650158999e-03       1.154681189421e+04 
       3.451849140678e-03       1.186932664786e+04 
       3.571712681076e-03       1.218813294340e+04 
       3.692186178644e-03       1.250307413046e+04 
       3.813220362724e-03       1.281401450390e+04 
       3.934770737248e-03       1.312084421370e+04 
       4.056797079609e-03       1.342346740578e+04 
       4.179262991157e-03       1.372180965245e+04 
       4.302135495260e-03       1.401581135454e+04 
       4.425384678732e-03       1.430542319695e+04 
       4.548983372436e-03       1.459061026516e+04 
       4.672906867087e-03       1.487134386003e+04 
       4.797132660503e-03       1.514761374159e+04 
       4.921640232876e-03       1.541939543197e+04 
       5.046410846930e-03       1.568671258200e+04 
       5.171427370143e-03       1.594955932062e+04 
       5.296674116521e-03       1.620794214164e+04 
       5.422136705660e-03       1.646187639307e+04 
       5.547801937108e-03       1.671137796545e+04 
       5.673657678258e-03       1.695646453520e+04 
       5.799692764211e-03       1.719716619754e+04 
       5.925896908236e-03       1.743350194814e+04 
       6.052260621603e-03       1.766550467673e+04 
       6.178775141736e-03       1.789320938880e+04 
       6.305432367739e-03       1.811664283539e+04 
       6.432224802458e-03       1.833583798570e+04 
       6.559145500367e-03       1.855083561802e+04 
       6.686188020621e-03       1.876166592793e+04 
       6.813346384718e-03       1.896837370284e+04 
       6.940615038267e-03       1.917099712276e+04 
       7.067988816420e-03       1.936956994858e+04 
       7.195462912579e-03       1.956413521563e+04 
