# Matter power spectrum P(k) at redshift z=0
# for k=1.05216e-05 to 13.9014 h/Mpc,
# number of wavenumbers equal to 548
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052162017240e-05       5.194528146509e+01 
       2.350772107913e-05       1.123840074321e+02 
       3.654020024128e-05       1.716305314582e+02 
       4.965469873119e-05       2.303800904442e+02 
       6.288745637405e-05       2.890210011825e+02 
       7.627564016474e-05       3.478399913990e+02 
       8.985768334586e-05       4.070795648107e+02 
       1.036736397250e-04       4.669613449550e+02 
       1.177655578436e-04       5.276980038964e+02 
       1.321778796441e-04       5.895003939297e+02 
       1.469578682853e-04       6.525824695498e+02 
       1.621560696842e-04       7.171650585072e+02 
       1.778268121613e-04       7.834790664030e+02 
       1.940287481518e-04       8.517683542096e+02 
       2.108254412086e-04       9.222925133654e+02 
       2.282860003257e-04       9.953295465522e+02 
       2.464857617582e-04       1.071178586464e+03 
       2.655070157703e-04       1.150162607115e+03 
       2.854397717961e-04       1.232631120300e+03 
       3.063825500011e-04       1.318962816508e+03 
       3.284431797490e-04       1.409568081816e+03 
       3.517395755950e-04       1.504891203145e+03 
       3.764004487259e-04       1.605412121470e+03 
       4.025658960250e-04       1.711647492189e+03 
       4.303877902338e-04       1.824150687918e+03 
       4.600298737232e-04       1.943510369090e+03 
       4.916674368247e-04       2.070347179611e+03 
       5.254864425558e-04       2.205308010267e+03 
       5.616819476895e-04       2.349057273923e+03 
       6.004556721769e-04       2.502264788111e+03 
       6.420125931567e-04       2.665589779580e+03 
       6.865564946312e-04       2.839661072616e+03 
       7.342844955267e-04       3.025053696510e+03 
       7.853807074603e-04       3.222262741335e+03 
       8.400093291696e-04       3.431676127092e+03 
       8.983076443675e-04       3.653548072800e+03 
       9.603795189002e-04       3.887976010939e+03 
       1.026290051399e-03       4.134883510994e+03 
       1.096061986160e-03       4.394011311940e+03 
       1.169674336399e-03       4.664918414329e+03 
       1.247063410278e-03       4.946993223910e+03 
       1.328126131146e-03       5.239474105686e+03 
       1.412725263021e-03       5.541449371654e+03 
       1.500695952217e-03       5.851955890372e+03 
       1.591852910682e-03       6.169975654516e+03 
       1.685997597132e-03       6.494452377457e+03 
       1.782924870927e-03       6.824333309711e+03 
       1.882428759257e-03       7.158592653515e+03 
       1.984307149445e-03       7.496250024538e+03 
       2.088365365329e-03       7.836383985120e+03 
       2.194418694421e-03       8.178140075118e+03 
       2.302293998561e-03       8.520736021428e+03 
       2.411830570806e-03       8.863462852766e+03 
       2.522880404826e-03       9.205682875473e+03 
       2.635308029882e-03       9.546827766912e+03 
       2.748990042548e-03       9.886393186130e+03 
       2.863814441592e-03       1.022393589074e+04 
       2.979679848539e-03       1.055906633446e+04 
       3.096494675272e-03       1.089144548234e+04 
       3.214176282509e-03       1.122077861066e+04 
       3.332650158999e-03       1.154681178264e+04 
       3.451849140678e-03       1.186932651875e+04 
       3.571712681076e-03       1.218813279474e+04 
       3.692186178644e-03       1.250307396010e+04 
       3.813220362724e-03       1.281401430955e+04 
       3.934770737248e-03       1.312084399291e+04 
       4.056797079609e-03       1.342346715595e+04 
       4.179262991157e-03       1.372180937085e+04 
       4.302135495260e-03       1.401581103826e+04 
       4.425384678732e-03       1.430542284293e+04 
       4.548983372436e-03       1.459060987020e+04 
       4.672906867087e-03       1.487134342074e+04 
       4.797132660503e-03       1.514761325443e+04 
       4.921640232876e-03       1.541939489324e+04 
       5.046410846930e-03       1.568671198784e+04 
       5.171427370143e-03       1.594955866699e+04 
       5.296674116521e-03       1.614959202500e+04 
       5.422136705660e-03       1.640126393121e+04 
       5.547801937108e-03       1.664848028737e+04 
       5.673657678258e-03       1.689126015985e+04 
       5.799692764211e-03       1.712963497969e+04 
       5.925896908236e-03       1.736362511526e+04 
       6.052260621603e-03       1.759326476515e+04 
       6.178775141736e-03       1.781859022414e+04 
       6.305432367739e-03       1.803962955672e+04 
       6.432224802458e-03       1.825641700852e+04 
       6.559145500367e-03       1.846899458718e+04 
       6.686188020621e-03       1.867739375134e+04 
       6.813346384718e-03       1.888166047164e+04 
       6.940615038267e-03       1.908183412585e+04 
       7.067988816420e-03       1.927794967893e+04 
       7.195462912579e-03       1.947005131084e+04 
