# Matter power spectrum P(k) at redshift z=0
# for k=1.05216e-05 to 13.9014 h/Mpc,
# number of wavenumbers equal to 548
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052162017240e-05       5.170916654934e+01 
       2.350772107913e-05       1.118731710347e+02 
       3.654020024128e-05       1.708503926789e+02 
       4.965469873119e-05       2.293329082149e+02 
       6.288745637405e-05       2.877072693589e+02 
       7.627564016474e-05       3.462589005289e+02 
       8.985768334586e-05       4.052292031523e+02 
       1.036736397250e-04       4.648387933869e+02 
       1.177655578436e-04       5.252993766057e+02 
       1.321778796441e-04       5.868208466842e+02 
       1.469578682853e-04       6.496161855967e+02 
       1.621560696842e-04       7.139052173312e+02 
       1.778268121613e-04       7.799177979179e+02 
       1.940287481518e-04       8.478966798704e+02 
       2.108254412086e-04       9.181002746656e+02 
       2.282860003257e-04       9.908053213369e+02 
       2.464857617582e-04       1.066309592884e+03 
       2.655070157703e-04       1.144934595258e+03 
       2.854397717961e-04       1.227028251562e+03 
       3.063825500011e-04       1.312967530967e+03 
       3.284431797490e-04       1.403160954156e+03 
       3.517395755950e-04       1.498050788565e+03 
       3.764004487259e-04       1.598114793618e+03 
       4.025658960250e-04       1.703867276280e+03 
       4.303877902338e-04       1.815859093836e+03 
       4.600298737232e-04       1.934676230989e+03 
       4.916674368247e-04       2.060936510536e+03 
       5.254864425558e-04       2.195283882847e+03 
       5.616819476895e-04       2.338379740729e+03 
       6.004556721769e-04       2.490890857086e+03 
       6.420125931567e-04       2.653473462179e+03 
       6.865564946312e-04       2.826753521997e+03 
       7.342844955267e-04       3.011303452060e+03 
       7.853807074603e-04       3.207616092022e+03 
       8.400093291696e-04       3.416077598604e+03 
       8.983076443675e-04       3.636941035276e+03 
       9.603795189002e-04       3.870303391629e+03 
       1.026290051399e-03       4.116088584544e+03 
       1.096061986160e-03       4.374038531436e+03 
       1.169674336399e-03       4.643714237379e+03 
       1.247063410278e-03       4.924506888068e+03 
       1.328126131146e-03       5.215658310450e+03 
       1.412725263021e-03       5.516260960523e+03 
       1.500695952217e-03       5.825356084673e+03 
