# Matter power spectrum P(k) at redshift z=0
# for k=1.05231e-05 to 14.3831 h/Mpc,
# number of wavenumbers equal to 549
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052307992603e-05       5.168609784818e+01 
       2.350928656847e-05       1.118155046050e+02 
       3.654187632612e-05       1.707589394962e+02 
       4.965649116657e-05       2.292080170570e+02 
       6.288937186834e-05       2.875490567521e+02 
       7.627768645169e-05       3.460673225288e+02 
       8.985986927173e-05       4.050040821920e+02 
       1.036759753520e-04       4.645798312082e+02 
       1.177680545712e-04       5.250061617121e+02 
       1.321805503505e-04       5.864928597406e+02 
       1.469607274903e-04       6.492527955666e+02 
       1.621591337361e-04       7.135056846915e+02 
       1.778300994515e-04       7.794812653070e+02 
       1.940322793574e-04       8.474221742082e+02 
       2.108292395676e-04       9.175866943843e+02 
       2.282900919462e-04       9.902514368090e+02 
       2.464901759639e-04       1.065714036221e+03 
       2.655117854830e-04       1.144295848667e+03 
       2.854449339557e-04       1.226344644212e+03 
       3.063881460194e-04       1.312237232474e+03 
       3.284492559931e-04       1.402381958584e+03 
       3.517461838892e-04       1.497220906778e+03 
       3.764076468576e-04       1.597231658111e+03 
       4.025737482302e-04       1.702928320523e+03 
       4.303963676300e-04       1.814861560403e+03 
       4.600392546457e-04       1.933617166542e+03 
       4.916777070097e-04       2.059812785935e+03 
       5.254976951026e-04       2.194092181283e+03 
       5.616942827233e-04       2.337116610019e+03 
       6.004691961299e-04       2.489552720505e+03 
       6.420274175905e-04       2.652056675764e+03 
       6.865727345437e-04       2.825254442180e+03 
       7.343022671244e-04       3.009718478064e+03 
       7.854001254325e-04       3.205941788134e+03 
       8.400305035752e-04       3.414310771601e+03 
       8.983306773208e-04       3.635078847412e+03 
       9.604045013120e-04       3.868343468376e+03 
       1.026317060065e-03       4.114029096970e+03 
       1.096091081482e-03       4.371878296532e+03 
       1.169705560973e-03       4.641452734118e+03 
       1.247096788470e-03       4.922144286188e+03 
       1.328161669658e-03       5.213195425649e+03 
       1.412762952335e-03       5.513699158408e+03 
       1.500735768693e-03       5.822697155148e+03 
       1.591894819068e-03       6.139176268121e+03 
       1.686041553221e-03       6.462085022504e+03 
       1.782970824143e-03       6.790375254368e+03 
       1.882476655011e-03       7.123025413503e+03 
       1.984356931161e-03       7.459058920598e+03 
       2.088416976096e-03       7.797557710756e+03 
       2.194472078277e-03       8.137670210338e+03 
       2.302349101434e-03       8.478616596814e+03 
       2.411887341163e-03       8.819689964010e+03 
       2.522938794081e-03       9.160254400361e+03 
       2.635367992614e-03       9.499743009097e+03 
       2.749051536574e-03       9.837652450429e+03 
       2.863877427937e-03       1.017354077735e+04 
       2.979744291332e-03       1.050701928575e+04 
       3.096560541597e-03       1.083774976891e+04 
       3.214243542223e-03       1.116543826806e+04 
       3.332718784543e-03       1.148983169111e+04 
       3.451919106875e-03       1.181071230014e+04 
       3.571783964940e-03       1.212789076199e+04 
       3.692258759192e-03       1.244121107882e+04 
       3.813294220798e-03       1.275053826693e+04 
       3.934845855349e-03       1.305576316710e+04 
       4.056873441748e-03       1.335679065094e+04 
       4.179340582711e-03       1.365354689983e+04 
       4.302214302846e-03       1.394597295461e+04 
       4.425464690089e-03       1.423402045521e+04 
       4.549064576322e-03       1.451765478352e+04 
       4.672989253182e-03       1.479684795861e+04 
       4.797216219326e-03       1.507159038536e+04 
       4.921724955704e-03       1.534185822151e+04 
       5.046496725730e-03       1.560767525311e+04 
       5.171514397510e-03       1.586903653681e+04 
       5.296762285620e-03       1.612594893093e+04 
