# Matter power spectrum P(k) at redshift z=0
# for k=1.05231e-05 to 14.3831 h/Mpc,
# number of wavenumbers equal to 549
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052307992603e-05       5.168609784818e+01 
       2.350928656847e-05       1.118155046050e+02 
       3.654187632612e-05       1.707589394963e+02 
       4.965649116657e-05       2.292080170572e+02 
       6.288937186834e-05       2.875490567525e+02 
       7.627768645169e-05       3.460673225295e+02 
       8.985986927173e-05       4.050040821929e+02 
       1.036759753520e-04       4.645798312097e+02 
       1.177680545712e-04       5.250061617142e+02 
       1.321805503505e-04       5.864928597435e+02 
       1.469607274903e-04       6.492527955705e+02 
       1.621591337361e-04       7.135056846966e+02 
       1.778300994515e-04       7.794812653136e+02 
       1.940322793574e-04       8.474221742165e+02 
       2.108292395676e-04       9.175866943947e+02 
       2.282900919462e-04       9.902514368218e+02 
       2.464901759639e-04       1.065714036236e+03 
       2.655117854830e-04       1.144295848686e+03 
       2.854449339557e-04       1.226344644235e+03 
       3.063881460194e-04       1.312237232501e+03 
       3.284492559931e-04       1.402381958616e+03 
       3.517461838892e-04       1.497220906816e+03 
       3.764076468576e-04       1.597231658155e+03 
       4.025737482302e-04       1.702928320575e+03 
       4.303963676300e-04       1.814861560462e+03 
       4.600392546457e-04       1.933617166609e+03 
       4.916777070097e-04       2.059812786012e+03 
       5.254976951026e-04       2.194092181368e+03 
       5.616942827233e-04       2.337116610114e+03 
       6.004691961299e-04       2.489552720607e+03 
       6.420274175905e-04       2.652056675873e+03 
       6.865727345437e-04       2.825254442291e+03 
       7.343022671244e-04       3.009718478171e+03 
       7.854001254325e-04       3.205941788229e+03 
       8.400305035752e-04       3.414310771668e+03 
       8.983306773208e-04       3.635078847433e+03 
       9.604045013120e-04       3.868343468321e+03 
       1.026317060065e-03       4.114029096800e+03 
       1.096091081482e-03       4.371878296194e+03 
       1.169705560973e-03       4.641452733542e+03 
       1.247096788470e-03       4.922144285280e+03 
       1.328161669658e-03       5.213195424289e+03 
       1.412762952335e-03       5.513699156445e+03 
       1.500735768693e-03       5.822697152393e+03 
       1.591894819068e-03       6.139176264343e+03 
       1.686041553221e-03       6.462085017419e+03 
       1.782970824143e-03       6.790375247639e+03 
       1.882476655011e-03       7.123025404730e+03 
       1.984356931161e-03       7.459058909312e+03 
       2.088416976096e-03       7.797557696413e+03 
       2.194472078277e-03       8.137670192313e+03 
       2.302349101434e-03       8.478616574395e+03 
       2.411887341163e-03       8.819689936393e+03 
       2.522938794081e-03       9.160254366643e+03 
       2.635367992614e-03       9.499742968272e+03 
       2.749051536574e-03       9.837652401380e+03 
       2.863877427937e-03       1.017354071885e+04 
       2.979744291332e-03       1.050701921645e+04 
       3.096560541597e-03       1.083774968734e+04 
       3.214243542223e-03       1.116543817262e+04 
       3.332718784543e-03       1.148983158008e+04 
       3.451919106875e-03       1.181071217166e+04 
       3.571783964940e-03       1.212789061406e+04 
       3.692258759192e-03       1.244121090929e+04 
       3.813294220798e-03       1.275053807353e+04 
       3.934845855349e-03       1.305576294739e+04 
       4.056873441748e-03       1.335679040234e+04 
       4.179340582711e-03       1.365354661961e+04 
       4.302214302846e-03       1.394597263989e+04 
       4.425464690089e-03       1.423402010294e+04 
       4.549064576322e-03       1.451765439051e+04 
       4.672989253182e-03       1.479684752149e+04 
       4.797216219326e-03       1.507158990062e+04 
       4.921724955704e-03       1.534185768546e+04 
       5.046496725730e-03       1.560767466191e+04 
       5.171514397510e-03       1.586903588644e+04 
       5.296762285620e-03       1.606820308888e+04 
