# Matter power spectrum P(k) at redshift z=0
# for k=1.05245e-05 to 13.9182 h/Mpc,
# number of wavenumbers equal to 548
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052454381924e-05       5.166717426626e+01 
       2.351768793567e-05       1.117979880131e+02 
       3.655727814512e-05       1.707426894145e+02 
       4.967901372888e-05       2.291932443077e+02 
       6.291919427623e-05       2.875361933511e+02 
       7.631504899841e-05       3.460569914940e+02 
       8.990507674303e-05       4.049970931756e+02 
       1.037294013043e-04       4.645771933186e+02 
       1.178301466587e-04       5.250090902353e+02 
       1.322518367903e-04       5.865027984166e+02 
       1.470418247727e-04       6.492714343674e+02 
       1.622507557020e-04       7.135349877048e+02 
       1.779330678736e-04       7.795235014953e+02 
       1.941475361749e-04       8.474799512462e+02 
       2.109578609286e-04       9.176629994931e+02 
       2.284333042107e-04       9.903496822534e+02 
       2.466493738068e-04       1.065838111013e+03 
       2.656885522017e-04       1.144450171591e+03 
       2.856410640286e-04       1.226534225543e+03 
       3.066056698655e-04       1.312467741041e+03 
       3.286904667362e-04       1.402659785048e+03 
       3.520136657217e-04       1.497553234812e+03 
       3.767043043070e-04       1.597626521514e+03 
       4.029028352481e-04       1.703394666541e+03 
       4.307615149305e-04       1.815409277069e+03 
       4.604444931273e-04       1.934257111151e+03 
       4.921274844201e-04       2.060556745158e+03 
       5.259968824074e-04       2.194952819791e+03 
       5.622481660272e-04       2.338107327443e+03 
       6.010834496244e-04       2.490687427143e+03 
       6.427080530945e-04       2.653349514012e+03 
       6.873260239998e-04       2.826719335771e+03 
       7.351346361474e-04       3.011368680504e+03 
       7.863180187731e-04       3.207789258669e+03 
       8.410402270402e-04       3.416365540967e+03 
       8.994382248264e-04       3.637348347246e+03 
       9.616153795570e-04       3.870831941304e+03 
       1.027636125820e-03       4.116737049651e+03 
       1.097522406804e-03       4.374802219150e+03 
       1.171252339299e-03       4.644584978027e+03 
       1.248761289803e-03       4.925473197729e+03 
       1.329945246817e-03       5.216705716175e+03 
       1.414666093925e-03       5.517369563446e+03 
       1.502758189412e-03       5.826509471028e+03 
       1.594035575035e-03       6.143108309549e+03 
       1.688299169457e-03       6.466114002528e+03 
       1.785343422717e-03       6.794478524329e+03 
       1.884962074989e-03       7.127181217316e+03 
       1.986952834532e-03       7.463247013801e+03 
       2.091120936706e-03       7.801759768390e+03 
       2.197281653102e-03       8.141870297347e+03 
       2.305261885133e-03       8.482801405018e+03 
       2.414901005798e-03       8.823848838002e+03 
       2.526051116348e-03       9.164379186434e+03 
       2.638576870976e-03       9.503828487303e+03 
       2.752355000529e-03       9.841696036694e+03 
       2.867273641381e-03       1.017754171759e+04 
       2.983231551631e-03       1.051097913050e+04 
       3.100137275687e-03       1.084167178688e+04 
       3.217908300736e-03       1.116932748494e+04 
       3.336470234744e-03       1.149369416176e+04 
       3.455756024975e-03       1.181455515954e+04 
       3.575705228178e-03       1.213172213137e+04 
       3.696263337996e-03       1.244503964152e+04 
       3.817381171189e-03       1.275437332944e+04 
       3.939014311729e-03       1.305961430685e+04 
       4.061122610127e-03       1.336066749222e+04 
       4.183669734420e-03       1.365745905906e+04 
       4.306622768735e-03       1.394993039006e+04 
       4.429951855203e-03       1.423803250950e+04 
       4.553629875046e-03       1.452173080660e+04 
