# Matter power spectrum P(k) at redshift z=0
# for k=1.05508e-05 to 14.4399 h/Mpc,
# number of wavenumbers equal to 549
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055080690644e-05       5.129199137714e+01 
       2.356003392858e-05       1.109123193047e+02 
       3.661591552897e-05       1.693581657103e+02 
       4.975428444995e-05       2.273154454182e+02 
       6.301157778936e-05       2.851676617826e+02 
       7.642516837764e-05       3.431981931134e+02 
       9.003370695237e-05       4.016468559019e+02 
       1.038774797649e-04       4.607329214280e+02 
       1.179987862887e-04       5.206668963022e+02 
       1.324423417338e-04       5.816575655161e+02 
       1.472557090719e-04       6.439168598275e+02 
       1.624897652070e-04       7.076635920235e+02 
       1.781992057143e-04       7.731266272594e+02 
       1.944430921470e-04       8.405477516796e+02 
       2.112854451575e-04       9.101844168301e+02 
       2.287958854520e-04       9.823124098883e+02 
       2.470503227007e-04       1.057228560587e+03 
       2.661316897176e-04       1.135253425302e+03 
       2.861307151886e-04       1.216733984157e+03 
       3.071467225975e-04       1.302046262099e+03 
       3.292884353538e-04       1.391597811275e+03 
       3.526747580158e-04       1.485829922642e+03 
       3.774354905336e-04       1.585219337942e+03 
       4.037119163639e-04       1.690279282957e+03 
       4.316571862498e-04       1.801559427749e+03 
       4.614363981488e-04       1.919644433834e+03 
       4.932262519683e-04       2.045150567890e+03 
       5.272141385854e-04       2.178719911056e+03 
       5.635965110450e-04       2.321011574968e+03 
       6.025763887488e-04       2.472689475367e+03 
       6.443598712716e-04       2.634406321906e+03 
       6.891515957389e-04       2.806783700125e+03 
       7.371491665340e-04       2.990388718502e+03 
       7.885367182288e-04       3.185707946825e+03 
       8.434779313219e-04       3.393120327004e+03 
       9.021089816365e-04       3.612870936662e+03 
       9.645320321054e-04       3.845048366869e+03 
       1.030809929392e-03       4.089568098717e+03 
       1.100962714739e-03       4.346164221280e+03 
       1.174966388758e-03       4.614391022142e+03 
       1.252754105989e-03       4.893634715542e+03 
       1.334219669249e-03       5.183134369905e+03 
       1.419222913324e-03       5.481980555611e+03 
       1.507596371910e-03       5.789219504245e+03 
       1.599152543806e-03       6.103841164446e+03 
       1.693691112894e-03       6.424800680966e+03 
       1.791005601929e-03       6.751058450865e+03 
       1.890889109819e-03       7.081602970126e+03 
       1.993138954696e-03       7.415468773789e+03 
       2.097560191432e-03       7.751749267187e+03 
       2.203968078109e-03       8.089604731125e+03 
       2.312189629507e-03       8.428266899121e+03 
       2.422064423544e-03       8.767040044732e+03 
       2.533444828325e-03       9.105298620890e+03 
       2.646195803030e-03       9.442485323469e+03 
       2.760194403199e-03       9.778106427790e+03 
       2.875329095825e-03       1.011172699611e+04 
       2.991498965644e-03       1.044296604933e+04 
       3.108612872888e-03       1.077149113670e+04 
       3.226588605320e-03       1.109701397152e+04 
       3.345352053597e-03       1.141928558780e+04 
       3.464836428471e-03       1.173809230648e+04 
       3.584981530616e-03       1.205324798457e+04 
       3.705733078305e-03       1.236459924987e+04 
       3.827042094357e-03       1.267201316163e+04 
       3.948864351210e-03       1.297538206012e+04 
       4.071159871382e-03       1.327461191854e+04 
       4.193892479663e-03       1.356962995257e+04 
       4.317029402888e-03       1.386037759652e+04 
       4.440540913041e-03       1.414680643800e+04 
       4.564400009467e-03       1.442888175061e+04 
       4.688582136183e-03       1.470657528650e+04 
       4.813064930531e-03       1.497987904573e+04 
       4.937827999751e-03       1.524876553544e+04 
       5.062852722318e-03       1.551326052669e+04 
       5.188122071250e-03       1.577335499233e+04 
       5.313620456862e-03       1.602905939430e+04 
       5.439333586714e-03       1.628038553001e+04 
       5.565248340778e-03       1.652734992555e+04 
       5.691352660050e-03       1.676996817589e+04 
       5.817635447066e-03       1.700827164192e+04 
       5.944086476943e-03       1.724227758392e+04 
       6.070696317746e-03       1.747201930967e+04 
       6.197456259110e-03       1.769752904069e+04 
       6.324358248186e-03       1.791883523220e+04 
