# Matter power spectrum P(k) at redshift z=0
# for k=1.05508e-05 to 14.4399 h/Mpc,
# number of wavenumbers equal to 549
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055080690644e-05       5.129199137714e+01 
       2.356003392858e-05       1.109123193047e+02 
       3.661591552897e-05       1.693581657103e+02 
       4.975428444995e-05       2.273154454184e+02 
       6.301157778936e-05       2.851676617829e+02 
       7.642516837764e-05       3.431981931140e+02 
       9.003370695237e-05       4.016468559029e+02 
       1.038774797649e-04       4.607329214295e+02 
       1.179987862887e-04       5.206668963043e+02 
       1.324423417338e-04       5.816575655190e+02 
       1.472557090719e-04       6.439168598314e+02 
       1.624897652070e-04       7.076635920285e+02 
       1.781992057143e-04       7.731266272660e+02 
       1.944430921470e-04       8.405477516879e+02 
       2.112854451575e-04       9.101844168404e+02 
       2.287958854520e-04       9.823124099010e+02 
       2.470503227007e-04       1.057228560602e+03 
       2.661316897176e-04       1.135253425321e+03 
       2.861307151886e-04       1.216733984180e+03 
       3.071467225975e-04       1.302046262126e+03 
       3.292884353538e-04       1.391597811307e+03 
       3.526747580158e-04       1.485829922680e+03 
       3.774354905336e-04       1.585219337986e+03 
       4.037119163639e-04       1.690279283008e+03 
       4.316571862498e-04       1.801559427808e+03 
       4.614363981488e-04       1.919644433902e+03 
       4.932262519683e-04       2.045150567966e+03 
       5.272141385854e-04       2.178719911141e+03 
       5.635965110450e-04       2.321011575062e+03 
       6.025763887488e-04       2.472689475469e+03 
       6.443598712716e-04       2.634406322014e+03 
       6.891515957389e-04       2.806783700235e+03 
       7.371491665340e-04       2.990388718608e+03 
       7.885367182288e-04       3.185707946918e+03 
       8.434779313219e-04       3.393120327068e+03 
       9.021089816365e-04       3.612870936679e+03 
       9.645320321054e-04       3.845048366809e+03 
       1.030809929392e-03       4.089568098540e+03 
       1.100962714739e-03       4.346164220932e+03 
       1.174966388758e-03       4.614391021551e+03 
       1.252754105989e-03       4.893634714615e+03 
       1.334219669249e-03       5.183134368521e+03 
       1.419222913324e-03       5.481980553616e+03 
       1.507596371910e-03       5.789219501449e+03 
       1.599152543806e-03       6.103841160614e+03 
       1.693691112894e-03       6.424800675814e+03 
       1.791005601929e-03       6.751058444052e+03 
       1.890889109819e-03       7.081602961249e+03 
       1.993138954696e-03       7.415468762376e+03 
       2.097560191432e-03       7.751749252690e+03 
       2.203968078109e-03       8.089604712916e+03 
       2.312189629507e-03       8.428266876485e+03 
       2.422064423544e-03       8.767040016860e+03 
       2.533444828325e-03       9.105298586873e+03 
       2.646195803030e-03       9.442485282298e+03 
       2.760194403199e-03       9.778106378343e+03 
       2.875329095825e-03       1.011172693716e+04 
       2.991498965644e-03       1.044296597951e+04 
       3.108612872888e-03       1.077149105455e+04 
       3.226588605320e-03       1.109701387543e+04 
       3.345352053597e-03       1.141928547604e+04 
       3.464836428471e-03       1.173809217718e+04 
       3.584981530616e-03       1.205324783572e+04 
       3.705733078305e-03       1.236459907933e+04 
       3.827042094357e-03       1.267201296712e+04 
       3.948864351210e-03       1.297538183918e+04 
       4.071159871382e-03       1.327461166860e+04 
       4.193892479663e-03       1.356962967089e+04 
       4.317029402888e-03       1.386037728020e+04 
       4.440540913041e-03       1.414680608399e+04 
       4.564400009467e-03       1.442888135570e+04 
       4.688582136183e-03       1.470657484733e+04 
       4.813064930531e-03       1.497987855877e+04 
       4.937827999751e-03       1.524876499699e+04 
       5.062852722318e-03       1.551325993291e+04 
       5.188122071250e-03       1.577335433918e+04 
       5.313620456862e-03       1.597072875424e+04 
       5.439333586714e-03       1.621979389199e+04 
       5.565248340778e-03       1.646447435269e+04 
       5.691352660050e-03       1.670478712082e+04 
       5.817635447066e-03       1.694076487928e+04 
       5.944086476943e-03       1.717242625961e+04 
       6.070696317746e-03       1.739980586803e+04 
       6.197456259110e-03       1.762293721839e+04 
       6.324358248186e-03       1.784185006399e+04 
