# Matter power spectrum P(k) at redshift z=0
# for k=1.05673e-05 to 14.3846 h/Mpc,
# number of wavenumbers equal to 549
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.056734611666e-05       5.133054339976e+01 
       2.355354830878e-05       1.107989913539e+02 
       3.658625369002e-05       1.690965784723e+02 
       4.970110487469e-05       2.269047185320e+02 
       6.293434437397e-05       2.846042436138e+02 
       7.632314304232e-05       3.424762768352e+02 
       8.990593920117e-05       4.007584392140e+02 
       1.037227930180e-04       4.596677748352e+02 
       1.178157607534e-04       5.194124277218e+02 
       1.322292935229e-04       5.801986048442e+02 
       1.470106652228e-04       6.422353860620e+02 
       1.622104341993e-04       7.057383879457e+02 
       1.778829430352e-04       7.709328675480e+02 
       1.940868604157e-04       8.380565080720e+02 
       2.108857682951e-04       9.073620469218e+02 
       2.283487963891e-04       9.791198765815e+02 
       2.465513041593e-04       1.053620584364e+03 
       2.655756077107e-04       1.131177534484e+03 
       2.855117450707e-04       1.212129355530e+03 
       3.064582678139e-04       1.296842432992e+03 
       3.285230395080e-04       1.385713158992e+03 
       3.518240115619e-04       1.479169925867e+03 
       3.764899343459e-04       1.577674636448e+03 
       4.026609457023e-04       1.681723502501e+03 
       4.304889602461e-04       1.791846811492e+03 
       4.601377618934e-04       1.908607320266e+03 
       4.917826804946e-04       2.032596842148e+03 
       5.256097143463e-04       2.164430496419e+03 
       5.618139485133e-04       2.304738264251e+03 
       6.005971210082e-04       2.454153327868e+03 
       6.421642131992e-04       2.613296950823e+03 
       6.867189957802e-04       2.782759953800e+03 
       7.344585534133e-04       2.963081056081e+03 
       7.855669398751e-04       3.154722945253e+03 
       8.402082712369e-04       3.358047438060e+03 
       8.985197243731e-04       3.573291515696e+03 
       9.606050370293e-04       3.800546337451e+03 
       1.026529163676e-03       4.039741591789e+03 
       1.096314695520e-03       4.290636891303e+03 
       1.169940492056e-03       4.552821857771e+03 
       1.247342715551e-03       4.825725174863e+03 
       1.328418158832e-03       5.108632169578e+03 
       1.413029476521e-03       5.400682280538e+03 
       1.501011730124e-03       5.700963654950e+03 
       1.592179572446e-03       6.008507957855e+03 
       1.686334427698e-03       6.322306294468e+03 
       1.783271142776e-03       6.641350179704e+03 
       1.882783750892e-03       6.964654507762e+03 
       1.984670159945e-03       7.291275929842e+03 
       2.088735725031e-03       7.620326194715e+03 
       2.194795772117e-03       7.950980394347e+03 
       2.302677205743e-03       8.282482113407e+03 
       2.412219363548e-03       8.614144864604e+03 
       2.523274283886e-03       8.945350577795e+03 
       2.635706539513e-03       9.275547374545e+03 
       2.749392768441e-03       9.604246223290e+03 
       2.864221008292e-03       9.931015401277e+03 
       2.980089916572e-03       1.025547606339e+04 
       3.096907938176e-03       1.057729801572e+04 
       3.214592463888e-03       1.089619395844e+04 
       3.333069009695e-03       1.121191588664e+04 
       3.452270436102e-03       1.152425087997e+04 
       3.572136218738e-03       1.183301288250e+04 
       3.692611775886e-03       1.213804848651e+04 
       3.813647854657e-03       1.243922473891e+04 
       3.935199974893e-03       1.273643387555e+04 
       4.057227928223e-03       1.302958184352e+04 
       4.179695328737e-03       1.331859510070e+04 
       4.302569211205e-03       1.360341493582e+04 
       4.425819672649e-03       1.388399242338e+04 
       4.549419553081e-03       1.416029280435e+04 
       4.673344151421e-03       1.443228992778e+04 
       4.797570972854e-03       1.469996605490e+04 
       4.922079504189e-03       1.496330680696e+04 
       5.046851014107e-03       1.522232070922e+04 
       5.171868375450e-03       1.547701395946e+04 
       5.297115907064e-03       1.567212617029e+04 
       5.422579232914e-03       1.591605324746e+04 
       5.548245156503e-03       1.615566825836e+04 
       5.674101548802e-03       1.639099109138e+04 
       5.800137248159e-03       1.662204804840e+04 
       5.926341970790e-03       1.684886046017e+04 
       6.052706230647e-03       1.707146159842e+04 
       6.179221267595e-03       1.728988496300e+04 
       6.305878982963e-03       1.750415885736e+04 
       6.432671881629e-03       1.771431554058e+04 
       6.559593019926e-03       1.792039628326e+04 
       6.686635958711e-03       1.812242821988e+04 
       6.813794721040e-03       1.832045770941e+04 
       6.941063753955e-03       1.851452361094e+04 
       7.068437893922e-03       1.870465551924e+04 
       7.195912335555e-03       1.889090411394e+04 
       7.323482603259e-03       1.907330110707e+04 
       7.451144525509e-03       1.925188419229e+04 
       7.578894211466e-03       1.942669639859e+04 
       7.706728029724e-03       1.959778631855e+04 
       7.834642588943e-03       1.976519148310e+04 
       7.962634720203e-03       1.992894379289e+04 
       8.090701460888e-03       2.008909240105e+04 
       8.218840039974e-03       2.024567149506e+04 
       8.347047864564e-03       2.039872457731e+04 
       8.475322507564e-03       2.054829697846e+04 
       8.603661696385e-03       2.069442267549e+04 
       8.732063302583e-03       2.083713958175e+04 
       8.860525332344e-03       2.097649742806e+04 
       8.989045917736e-03       2.111252349665e+04 
       9.117623308663e-03       2.124526635128e+04 
       9.246255865461e-03       2.137475939572e+04 
       9.374942052068e-03       2.150104521288e+04 
       9.503680429727e-03       2.162416188003e+04 
       9.632469651181e-03       2.174414053787e+04 
       9.761308455300e-03       2.186102254575e+04 
       9.890195662122e-03       2.197484664152e+04 
       1.001913016826e-02       2.208564326238e+04 
       1.014811094266e-02       2.219345109831e+04 
       1.027713702267e-02       2.229830997843e+04 
       1.040620751037e-02       2.240024278093e+04 
       1.053532156924e-02       2.249930030093e+04 
       1.066447842095e-02       2.259551468685e+04 
       1.079367734254e-02       2.268891067693e+04 
       1.092291766363e-02       2.277952414841e+04 
       1.105219876398e-02       2.286740886764e+04 
       1.118152007110e-02       2.295256832832e+04 
       1.131088105814e-02       2.303507058811e+04 
       1.144028124180e-02       2.311491224025e+04 
       1.156972018053e-02       2.319215262295e+04 
       1.169919747274e-02       2.326681579594e+04 
       1.182871275520e-02       2.333893746851e+04 
       1.195826570153e-02       2.340853767716e+04 
       1.208785602077e-02       2.347565997342e+04 
       1.221748345613e-02       2.354034044180e+04 
       1.234714778371e-02       2.360259607026e+04 
       1.247684881144e-02       2.366246226065e+04 
       1.260658637800e-02       2.371996461672e+04 
       1.273636035184e-02       2.377515538109e+04 
       1.286617063029e-02       2.382804104256e+04 
       1.299601713876e-02       2.387866305375e+04 
       1.312589982990e-02       2.392704489196e+04 
       1.325581868293e-02       2.397322289578e+04 
       1.338577370297e-02       2.401722253064e+04 
       1.351576492043e-02       2.405907476359e+04 
       1.364579239045e-02       2.409880327826e+04 
       1.377585619239e-02       2.413643581802e+04 
       1.390595642935e-02       2.417200379464e+04 
       1.403609322774e-02       2.420552703325e+04 
       1.416626673691e-02       2.423703228334e+04 
       1.429647712876e-02       2.426655477376e+04 
       1.442672459745e-02       2.429411180231e+04 
       1.455700935911e-02       2.431972795048e+04 
       1.468733165158e-02       2.434343873260e+04 
       1.481769173417e-02       2.436525545349e+04 
       1.494808988751e-02       2.438522098854e+04 
       1.507852641334e-02       2.440334564131e+04 
       1.520900163440e-02       2.441966278166e+04 
       1.533951589428e-02       2.443418242942e+04 
       1.547006955737e-02       2.444694620800e+04 
       1.560066300877e-02       2.445797434364e+04 
       1.573129665426e-02       2.446728396565e+04 
       1.586197092027e-02       2.447490872991e+04 
       1.599268625387e-02       2.448085019300e+04 
       1.612344312283e-02       2.448515736175e+04 
       1.625424201562e-02       2.448785086440e+04 
       1.638508344147e-02       2.448892012316e+04 
       1.651596793051e-02       2.448842151321e+04 
       1.664689603378e-02       2.448636990223e+04 
       1.677786832344e-02       2.448278504165e+04 
       1.690888539283e-02       2.447760723199e+04 
       1.703994785667e-02       2.447109851208e+04 
       1.717105635121e-02       2.446302734376e+04 
       1.730221153442e-02       2.445345812740e+04 
       1.743341408623e-02       2.444249697325e+04 
       1.756466470868e-02       2.443026745107e+04 
       1.769596412625e-02       2.441647393650e+04 
       1.782731308603e-02       2.440130677038e+04 
       1.795871235806e-02       2.438489045300e+04 
       1.809016273560e-02       2.436727601763e+04 
       1.822166503540e-02       2.434815510467e+04 
       1.835322009808e-02       2.432781025791e+04 
       1.848482878843e-02       2.430625148222e+04 
       1.861649199580e-02       2.428332613021e+04 
       1.874821063442e-02       2.425924931156e+04 
       1.887998564385e-02       2.423412336565e+04 
       1.901181798937e-02       2.420753383498e+04 
       1.914370866238e-02       2.417997434604e+04 
       1.927565868085e-02       2.415116193193e+04 
       1.940766908982e-02       2.412124118459e+04 
       1.953974096182e-02       2.409028362007e+04 
       1.967187539742e-02       2.405808459315e+04 
       1.980407352571e-02       2.402501755665e+04 
       1.993633650483e-02       2.399072260015e+04 
       2.006866552254e-02       2.395555312327e+04 
       2.020106179682e-02       2.391915703103e+04 
       2.033352657638e-02       2.388187323780e+04 
       2.046606114136e-02       2.384359370349e+04 
       2.059866680391e-02       2.380435581000e+04 
       2.073134490886e-02       2.376417331974e+04 
       2.086409683441e-02       2.372301941862e+04 
       2.099692399280e-02       2.368108561810e+04 
       2.112982783105e-02       2.363817606668e+04 
       2.126280983170e-02       2.359446058320e+04 
       2.139587151357e-02       2.354962473477e+04 
       2.152901443258e-02       2.350418036790e+04 
       2.166224018251e-02       2.345790314268e+04 
       2.179555039592e-02       2.341059458268e+04 
       2.192894674497e-02       2.336278800476e+04 
       2.206243094231e-02       2.331399184072e+04 
       2.219600474204e-02       2.326450293370e+04 
       2.232966994066e-02       2.321418135919e+04 
       2.246342837801e-02       2.316327830752e+04 
       2.259728193834e-02       2.311154913503e+04 
       2.273123255134e-02       2.305913197291e+04 
       2.286528219320e-02       2.300600780827e+04 
       2.299943288774e-02       2.295220564431e+04 
       2.313368670757e-02       2.289778643091e+04 
       2.326804577523e-02       2.284264257189e+04 
       2.340251226447e-02       2.278690373837e+04 
       2.353708840148e-02       2.273052185937e+04 
       2.367177646615e-02       2.267358472130e+04 
       2.380657879350e-02       2.261606880400e+04 
       2.394149777498e-02       2.255783813248e+04 
       2.407653585994e-02       2.249916635714e+04 
       2.421169555710e-02       2.243996534401e+04 
       2.434697943602e-02       2.238012579700e+04 
       2.448239012877e-02       2.231984133442e+04 
       2.461793033143e-02       2.225890671633e+04 
       2.475360280585e-02       2.219764327131e+04 
       2.488941038132e-02       2.213571457604e+04 
       2.502535595640e-02       2.207348991861e+04 
       2.516144250070e-02       2.201058986670e+04 
       2.529767305684e-02       2.194740012639e+04 
       2.543405074237e-02       2.188370341155e+04 
       2.557057875182e-02       2.181967298959e+04 
       2.570726035880e-02       2.175513425147e+04 
       2.584409891815e-02       2.169018296492e+04 
       2.598109786819e-02       2.162494010552e+04 
       2.611826073303e-02       2.155916660698e+04 
       2.625559112499e-02       2.149311653193e+04 
       2.639309274704e-02       2.142671250660e+04 
       2.653076939540e-02       2.135995494578e+04 
       2.666862496217e-02       2.129286711348e+04 
       2.680666343808e-02       2.122540240564e+04 
       2.694488891536e-02       2.115764716500e+04 
       2.708330559063e-02       2.108959873653e+04 
       2.722191776802e-02       2.102120037091e+04 
       2.736072986226e-02       2.095261912835e+04 
       2.749974640202e-02       2.088373632015e+04 
       2.763897203324e-02       2.081455856473e+04 
       2.777841152270e-02       2.074501215997e+04 
       2.791806976165e-02       2.067534776746e+04 
